date,sub_n,trial_type,trial_num,line_len,distribution,jnds,key_choice,yn_choice,correct,rt
20210928,100,learn,1,248.5424,in,10.35,u,YES,TRUE,4716
20210928,100,learn,2,233.9515,in,9.11,u,YES,TRUE,2761
20210928,100,learn,3,160.4473,out,1.38,u,YES,FALSE,1634
20210928,100,learn,4,381.2683,out,19.12,u,YES,FALSE,1633
20210928,100,learn,5,196.841,out,5.57,u,YES,FALSE,1441
20210928,100,learn,6,251.8382,in,10.62,u,YES,TRUE,897
20210928,100,learn,7,282.8474,out,13,u,YES,FALSE,1490
20210928,100,learn,8,245.4095,in,10.09,u,YES,TRUE,1032
20210928,100,learn,9,354.016,in,17.6,i,NO,FALSE,2400
20210928,100,learn,10,316.5916,out,15.31,u,YES,FALSE,1646
20210928,100,learn,11,282.5715,out,12.98,u,YES,FALSE,1103
20210928,100,learn,12,315.0507,in,15.21,u,YES,TRUE,5872
20210928,100,learn,13,431.9916,out,21.68,i,NO,TRUE,1233
20210928,100,learn,14,280.511,in,12.83,i,NO,FALSE,866
20210928,100,learn,15,286.1789,in,13.24,u,YES,TRUE,730
20210928,100,learn,16,237.6328,in,9.43,u,YES,TRUE,1075
20210928,100,learn,17,269.773,in,12.03,i,NO,FALSE,741
20210928,100,learn,18,193.6971,in,5.24,u,YES,TRUE,820
20210928,100,learn,19,372.443,in,18.64,u,YES,TRUE,364
20210928,100,learn,20,186.3733,out,4.45,u,YES,FALSE,400
20210928,100,learn,21,440.9352,out,22.1,u,YES,FALSE,1143
20210928,100,learn,22,383.8815,out,19.26,u,YES,FALSE,1259
20210928,100,learn,23,155.8185,out,0.78,u,YES,FALSE,3987
20210928,100,learn,24,169.8728,out,2.55,u,YES,FALSE,1176
20210928,100,learn,25,266.7626,out,11.8,u,YES,FALSE,570
20210928,100,learn,26,231.4537,in,8.89,i,NO,FALSE,474
20210928,100,learn,27,273.0837,out,12.28,u,YES,FALSE,1145
20210928,100,learn,28,319.0728,in,15.47,u,YES,TRUE,523
20210928,100,learn,29,370.2688,out,18.52,i,NO,TRUE,809
20210928,100,learn,30,356.0948,in,17.72,i,NO,FALSE,585
20210928,100,learn,31,309.2634,out,14.83,u,YES,FALSE,368
20210928,100,learn,32,259.5727,in,11.24,i,NO,FALSE,309
20210928,100,learn,33,150.8808,out,0.12,i,NO,TRUE,1537
20210928,100,learn,34,259.5727,in,11.24,i,NO,FALSE,816
20210928,100,learn,35,378.8576,out,18.99,i,NO,TRUE,577
20210928,100,learn,36,179.0641,in,3.63,u,YES,TRUE,1023
20210928,100,learn,37,314.8971,in,15.2,u,YES,TRUE,1120
20210928,100,learn,38,199.354,out,5.83,i,NO,TRUE,905
20210928,100,learn,39,219.1453,in,7.77,i,NO,FALSE,769
