distribution,jnds,dens,line_len,prob_in,optimal_rsp,optimal_prob
in,4.4399999999999995,0.02045306820676003,186.2823666827551,0.31574329590329286,out,0.685
out,0.98,0.04444444444444444,157.34638594360578,0.053422382171637334,out,0.685
in,2.63,0.00757707077423619,170.53719507459587,0.1459893688861426,out,0.685
out,1,0.04444444444444444,157.5,0.054165103455786394,out,0.685
in,3.63,0.01349809960850663,179.06405482832562,0.2334400485782666,out,0.685
out,0.78,0.04444444444444444,155.81846163501905,0.04643705858645362,out,0.685
in,5.78,0.03671578176867809,198.86822968188844,0.4530562089706632,out,0.685
out,1.38,0.04444444444444444,160.44732902619714,0.06990252525821125,out,0.685
in,4.78,0.02401487308400945,189.39831398275092,0.35140634655759284,out,0.685
out,1.36,0.04444444444444444,160.29084035921724,0.06899444997205186,out,0.685
in,5.24,0.02945285011675401,193.6971301487198,0.39921288349649453,out,0.685
out,1.42,0.04444444444444444,160.7607648393585,0.07174623037536276,out,0.685
in,6.45,0.04689264807937663,205.47653715488147,0.5140773743430588,in,0.685
out,0.41,0.04444444444444444,153.03080812338288,0.03548714966865775,out,0.685
in,5.63,0.03460713992213522,197.41812044822905,0.4384447141895815,out,0.685
out,1.7,0.04444444444444444,162.97202709806703,0.08570585703008084,out,0.685
in,5.51,0.03296975689624792,196.26564999290693,0.4265488543538858,out,0.685
out,1.15,0.04444444444444444,158.65689585020263,0.06000211356442152,out,0.685
in,5.52,0.03310448943937109,196.36143168987024,0.4275467051351113,out,0.685
out,0.12,0.04444444444444444,150.8807988983531,0.028498603591893656,out,0.685
in,6.4,0.04609503991778171,204.9758863749768,0.5097909551491219,in,0.685
out,4.1,0.04444444444444444,183.21768239229823,0.2804633299229729,out,0.685
in,8.41,0.07986071197673023,226.09620052933164,0.6430777111325526,in,0.685
out,2.66,0.04444444444444444,170.78699397828106,0.14829300237171777,out,0.685
in,8.94,0.0879996560365628,232.0190224841001,0.665031159773102,in,0.685
out,2.83,0.04444444444444444,172.20944830530104,0.1617537891734973,out,0.685
in,7.82,0.07001806990521107,219.6805351151114,0.6123537229626839,in,0.685
out,3.5,0.04444444444444444,177.93189570665973,0.2209685261037572,out,0.685
in,7.39,0.0626333165781848,215.11969783142007,0.5855892145801141,in,0.685
out,2.55,0.04444444444444444,169.87284943977062,0.13995357415561704,out,0.685
in,8.89,0.08727208773261921,231.45370000900007,0.6631791908029474,in,0.685
out,4.35,0.04444444444444444,185.4661727421618,0.3063422766396667,out,0.685
in,8.64,0.08350052387549438,228.6476820531869,0.6532410612112564,in,0.685
out,3.7,0.04444444444444444,179.67665987561892,0.24026427623019148,out,0.685
in,8.18,0.07609277733957881,223.57319101056345,0.6319093771198402,in,0.685
out,4.45,0.04444444444444444,186.37327633095825,0.3167897142646528,out,0.685
in,7.82,0.07001806990521107,219.6805351151114,0.6123537229626839,in,0.685
out,3.38,0.04444444444444444,176.89318025138238,0.20970964152004828,out,0.685
in,7.12,0.05800872035769539,212.30443590058545,0.5668613428687131,in,0.685
out,2.94,0.04444444444444444,173.13616689021535,0.1708232964575778,out,0.685
in,7.19,0.0592033039464911,213.03076128800137,0.5718592327506417,in,0.685
out,5.57,0.04444444444444444,196.84104178282956,0.43251846986778003,out,0.685
in,8.18,0.07609277733957881,223.57319101056345,0.6319093771198402,in,0.685
out,4.79,0.04444444444444444,189.49074427768997,0.3524548848774243,out,0.685
in,7.77,0.06916319837677447,219.1452757966601,0.6094336892864276,in,0.685
out,4.75,0.04444444444444444,189.121293525334,0.3482596693031714,out,0.685
in,7.77,0.06916319837677447,219.1452757966601,0.6094336892864276,in,0.685
out,4.66,0.04444444444444444,188.2926608610549,0.3388135673627214,out,0.685
in,7.39,0.0626333165781848,215.11969783142007,0.5855892145801141,in,0.685
out,5.83,0.04444444444444444,199.3539625944241,0.4578577587906574,out,0.685
in,8.3,0.07807256256807318,224.8860111461861,0.637863283524476,in,0.685
out,6.34,0.04444444444444444,204.3767153835816,0.5045867448858453,in,0.685
in,8.34,0.07872595563346436,225.3253287103987,0.6397862159301377,in,0.685
out,6.390000000000001,0.04444444444444444,204.87590269659052,0.5089281466907424,in,0.685
in,9.25,0.09228103818051278,235.55497192820815,0.6755294903570146,in,0.685
out,5.6,0.04444444444444444,197.12936994734585,0.4354871544698626,out,0.685
in,11.24,0.1063842298513368,259.57267971387273,0.7058931673994653,in,0.685
out,6.55,0.04444444444444444,206.48151019935025,0.5225103133056798,in,0.685
