distribution,jnds,dens,line_len,prob_in,optimal_rsp,optimal_prob
in,0.98,0.04444444444444444,157.34638594360578,0.9998806617613984,in,0.765
out,6.6899999999999995,0.02274165384149058,207.89673548124208,0.6615125089612266,in,0.765
in,1,0.04444444444444444,157.5,0.999875725826761,in,0.765
out,4.88,0.00322293373033106,190.3246494313429,0.932387014899079,in,0.765
in,0.78,0.04444444444444444,155.81846163501905,0.99992077254404,in,0.765
out,8.13,0.06779340241120524,223.0284470996767,0.39598447127736625,out,0.765
in,1.38,0.04444444444444444,160.44732902619714,0.9997355979049385,in,0.765
out,8.03,0.06367853888906329,221.94293790677847,0.4110545517168591,out,0.765
in,1.36,0.04444444444444444,160.29084035921724,0.999745716686112,in,0.765
out,7.03,0.03053986202322738,211.37422657788423,0.592716616824427,in,0.765
in,1.42,0.04444444444444444,160.7607648393585,0.9997142044220327,in,0.765
out,7.49,0.04388536661598126,216.17183497879608,0.5031647176743123,in,0.765
in,0.41,0.04444444444444444,153.03080812338288,0.9999636341565796,in,0.765
out,8.7,0.09328551842520282,229.318008210836,0.3226926336029606,out,0.765
in,1.7,0.04444444444444444,162.97202709806703,0.9995116585228925,in,0.765
out,7.88,0.05775546442838076,220.3245722979583,0.4348775349667866,out,0.765
in,1.15,0.04444444444444444,158.65689585020263,0.9998320060520577,in,0.765
out,7.76,0.05324555161524958,219.0383805361364,0.45495389740098274,out,0.765
in,0.12,0.04444444444444444,150.8807988983531,0.9999806172643951,in,0.765
out,7.77,0.05361335588388835,219.1452757966601,0.4532474142355677,out,0.765
in,4.1,0.04444444444444444,183.21768239229823,0.9750469282220259,in,0.765
out,8.65,0.0909429859256833,228.75926685161988,0.32827600260186923,out,0.765
in,2.66,0.04444444444444444,170.78699397828106,0.9972790958876387,in,0.765
out,8.41,0.07994066194155097,226.09620052933164,0.35731323255473346,out,0.765
in,2.83,0.04444444444444444,172.20944830530104,0.996382926761545,in,0.765
out,8.94,0.10467547823363946,232.0190224841001,0.29804498048453204,out,0.765
in,3.5,0.04444444444444444,177.93189570665973,0.9895272600948161,in,0.765
out,7.82,0.05547440098124511,219.6805351151114,0.44480542439312043,out,0.765
in,2.55,0.04444444444444444,169.87284943977062,0.9977440113124139,in,0.765
out,7.39,0.04070380881571565,215.11969783142007,0.5219654278596869,in,0.765
in,4.35,0.04444444444444444,185.4661727421618,0.9650605772094945,in,0.765
out,8.89,0.10228910351168512,231.45370000900007,0.3028921815325589,out,0.765
in,3.7,0.04444444444444444,179.67665987561892,0.9858839946463321,in,0.765
out,10.89,0.1750527054998401,255.1777042599226,0.20248301381464806,out,0.765
in,4.45,0.04444444444444444,186.37327633095825,0.9601996852272353,in,0.765
out,10.43,0.16591526833436507,249.5144193190195,0.21127830922253255,out,0.765
in,3.38,0.04444444444444444,176.89318025138238,0.9912817265386267,in,0.765
out,10.07,0.1545265792017705,245.1700980210488,0.22337144188125566,out,0.765
in,2.94,0.04444444444444444,173.13616689021535,0.995665082771428,in,0.765
out,9.37,0.1250621182236165,236.9381489933813,0.262198959998254,out,0.765
in,5.57,0.04444444444444444,196.84104178282956,0.8584849093857321,in,0.765
out,9.44,0.1282936363680085,237.7487500160647,0.25729384184081067,out,0.765
in,4.79,0.04444444444444444,189.49074427768997,0.9392316111831902,in,0.765
out,10.43,0.16591526833436507,249.5144193190195,0.21127830922253255,out,0.765
in,4.75,0.04444444444444444,189.121293525334,0.9420889984942149,in,0.765
out,10.02,0.15269842237552253,244.57273248976665,0.22544282307222202,out,0.765
in,4.66,0.04444444444444444,188.2926608610549,0.9481200104063755,in,0.765
out,10.02,0.15269842237552253,244.57273248976665,0.22544282307222202,out,0.765
in,5.83,0.04444444444444444,199.3539625944241,0.8202033351269354,in,0.765
out,9.64,0.13726003964628644,240.08006615584628,0.24459740037153901,out,0.765
in,6.34,0.04444444444444444,204.3767153835816,0.7305470373975101,in,0.765
out,10.55,0.16893128610301025,250.97956615674897,0.2082919380306938,out,0.765
in,6.390000000000001,0.04444444444444444,204.87590269659052,0.720944780807152,in,0.765
out,10.59,0.16984136946742917,251.46985779876425,0.20740731097916962,out,0.765
in,5.6,0.04444444444444444,197.12936994734585,0.8543572060189555,in,0.765
out,9.25,0.11944134027223988,235.55497192820815,0.2711915772394614,out,0.765
in,6.55,0.04444444444444444,206.48151019935025,0.6895638949203794,in,0.765
out,11.24,0.17730603065020242,259.57267971387273,0.20042547564091936,out,0.765
