distribution,jnds,dens,total,optimal
in,0,0.044444444444444446,0.04444510520905204,0.9999851330173596
in,0.001,0.044444444444444446,0.04444510667898515,0.9999850999448491
in,0.002,0.044444444444444446,0.04444510815205717,0.9999850668017175
in,0.003,0.044444444444444446,0.044445109628274485,0.999985033587821
in,0.004,0.044444444444444446,0.04444511110764352,0.9999850003030151
in,0.005,0.044444444444444446,0.04444511259017069,0.9999849669471556
in,0.006,0.044444444444444446,0.044445114075862435,0.9999849335200974
in,0.007,0.044444444444444446,0.044445115564725204,0.9999849000216957
in,0.008,0.044444444444444446,0.04444511705676545,0.9999848664518051
in,0.009000000000000001,0.044444444444444446,0.04444511855198967,0.9999848328102796
in,0.01,0.044444444444444446,0.04444512005040433,0.9999847990969736
in,0.011,0.044444444444444446,0.04444512155201593,0.9999847653117409
in,0.012,0.044444444444444446,0.044445123056830994,0.9999847314544347
in,0.013000000000000001,0.044444444444444446,0.04444512456485603,0.9999846975249086
in,0.014,0.044444444444444446,0.044445126076097595,0.9999846635230153
in,0.015,0.044444444444444446,0.044445127590562225,0.9999846294486074
in,0.016,0.044444444444444446,0.04444512910825648,0.9999845953015376
in,0.017,0.044444444444444446,0.04444513062918694,0.9999845610816578
in,0.018000000000000002,0.044444444444444446,0.04444513215336019,0.9999845267888197
in,0.019,0.044444444444444446,0.04444513368078284,0.9999844924228749
in,0.02,0.044444444444444446,0.044445135211461484,0.9999844579836746
in,0.021,0.044444444444444446,0.04444513674540277,0.99998442347106975
in,0.022,0.044444444444444446,0.04444513828261332,0.9999843888849111
in,0.023,0.044444444444444446,0.044445139823099784,0.9999843542250489
in,0.024,0.044444444444444446,0.04444514136686884,0.9999843194913333
in,0.025,0.044444444444444446,0.044445142913927156,0.9999842846836141
in,0.026000000000000002,0.044444444444444446,0.04444514446428142,0.9999842498017408
in,0.027,0.044444444444444446,0.044445146017938336,0.9999842148455625
in,0.028,0.044444444444444446,0.04444514757490463,0.9999841798149282
in,0.029,0.044444444444444446,0.04444514913518701,0.9999841447096866
in,0.03,0.044444444444444446,0.044445150698792235,0.9999841095296859
in,0.031,0.044444444444444446,0.04444515226572705,0.9999840742747741
in,0.032,0.044444444444444446,0.04444515383599824,0.999984038944799
in,0.033,0.044444444444444446,0.04444515540961256,0.9999840035396083
in,0.034,0.044444444444444446,0.04444515698657681,0.999983968059049
in,0.035,0.044444444444444446,0.04444515856689781,0.9999839325029679
in,0.036000000000000004,0.044444444444444446,0.04444516015058238,0.9999838968712115
in,0.037,0.044444444444444446,0.04444516173763733,0.9999838611636264
in,0.038,0.044444444444444446,0.044445163328069526,0.9999838253800583
in,0.039,0.044444444444444446,0.04444516492188583,0.9999837895203528
in,0.04,0.044444444444444446,0.044445166519093096,0.9999837535843557
in,0.041,0.044444444444444446,0.04444516811969822,0.999983717571912
in,0.042,0.044444444444444446,0.04444516972370811,0.999983681482866
in,0.043000000000000003,0.044444444444444446,0.04444517133112966,0.9999836453170627
in,0.044,0.044444444444444446,0.044445172941969806,0.9999836090743462
in,0.045,0.044444444444444446,0.044445174556235485,0.9999835727545604
in,0.046,0.044444444444444446,0.044445176173933655,0.9999835363575488
in,0.047,0.044444444444444446,0.04444517779507127,0.9999834998831548
in,0.048,0.044444444444444446,0.04444517941965532,0.9999834633312213
in,0.049,0.044444444444444446,0.04444518104769279,0.9999834267015911
in,0.05,0.044444444444444446,0.04444518267919069,0.9999833899941064
in,0.051000000000000004,0.044444444444444446,0.04444518431415603,0.9999833532086095
in,0.052000000000000005,0.044444444444444446,0.04444518595259586,0.9999833163449422
in,0.053,0.044444444444444446,0.04444518759451721,0.9999832794029458
in,0.054,0.044444444444444446,0.04444518923992715,0.9999832423824616
in,0.055,0.044444444444444446,0.044445190888832746,0.9999832052833305
in,0.056,0.044444444444444446,0.04444519254124109,0.999983168105393
in,0.057,0.044444444444444446,0.044445194197159275,0.9999831308484894
in,0.058,0.044444444444444446,0.04444519585659443,0.9999830935124596
in,0.059000000000000004,0.044444444444444446,0.04444519751955367,0.9999830560971432
in,0.06,0.044444444444444446,0.04444519918604414,0.9999830186023796
in,0.061,0.044444444444444446,0.044445200856072994,0.999982981028008
in,0.062,0.044444444444444446,0.044445202529647405,0.9999829433738668
in,0.063,0.044444444444444446,0.04444520420677455,0.9999829056397948
in,0.064,0.044444444444444446,0.044445205887461633,0.9999828678256297
in,0.065,0.044444444444444446,0.044445207571715856,0.9999828299312096
in,0.066,0.044444444444444446,0.044445209259544455,0.9999827919563716
in,0.067,0.044444444444444446,0.04444521095095465,0.9999827539009536
in,0.068,0.044444444444444446,0.044445212645953705,0.9999827157647916
in,0.069,0.044444444444444446,0.044445214344548886,0.9999826775477226
in,0.07,0.044444444444444446,0.04444521604674747,0.9999826392495829
in,0.07100000000000001,0.044444444444444446,0.044445217752556755,0.9999826008702081
in,0.07200000000000001,0.044444444444444446,0.044445219461984035,0.9999825624094341
in,0.073,0.044444444444444446,0.04444522117503665,0.999982523867096
in,0.074,0.044444444444444446,0.044445222891721925,0.9999824852430288
in,0.075,0.044444444444444446,0.04444522461204721,0.9999824465370672
in,0.076,0.044444444444444446,0.04444522633601987,0.9999824077490457
in,0.077,0.044444444444444446,0.044445228063647285,0.999982368878798
in,0.078,0.044444444444444446,0.04444522979493685,0.999982329926158
in,0.079,0.044444444444444446,0.04444523152989596,0.999982290890959
in,0.08,0.044444444444444446,0.044445233268532044,0.9999822517730342
in,0.081,0.044444444444444446,0.04444523501085254,0.9999822125722161
in,0.082,0.044444444444444446,0.04444523675686489,0.9999821732883374
in,0.083,0.044444444444444446,0.044445238506576557,0.99998213392123
in,0.084,0.044444444444444446,0.044445240259995016,0.999982094470726
in,0.085,0.044444444444444446,0.04444524201712777,0.9999820549366564
in,0.08600000000000001,0.044444444444444446,0.04444524377798232,0.9999820153188524
in,0.08700000000000001,0.044444444444444446,0.04444524554256618,0.9999819756171452
in,0.088,0.044444444444444446,0.044445247310886886,0.9999819358313652
in,0.089,0.044444444444444446,0.044445249082952,0.9999818959613422
in,0.09,0.044444444444444446,0.04444525085876907,0.9999818560069065
in,0.091,0.044444444444444446,0.04444525263834568,0.9999818159678873
in,0.092,0.044444444444444446,0.04444525442168943,0.9999817758441137
in,0.093,0.044444444444444446,0.04444525620880791,0.9999817356354151
in,0.094,0.044444444444444446,0.04444525799970876,0.9999816953416195
in,0.095,0.044444444444444446,0.04444525979439961,0.9999816549625554
in,0.096,0.044444444444444446,0.044445261592888106,0.9999816144980506
in,0.097,0.044444444444444446,0.044445263395181914,0.9999815739479326
in,0.098,0.044444444444444446,0.04444526520128872,0.9999815333120287
in,0.099,0.044444444444444446,0.04444526701121622,0.9999814925901657
in,0.1,0.044444444444444446,0.044445268824972115,0.9999814517821702
in,0.101,0.044444444444444446,0.04444527064256413,0.9999814108878686
in,0.10200000000000001,0.044444444444444446,0.04444527246400001,0.9999813699070865
in,0.10300000000000001,0.044444444444444446,0.04444527428928751,0.9999813288396497
in,0.10400000000000001,0.044444444444444446,0.04444527611843439,0.9999812876853834
in,0.105,0.044444444444444446,0.044445277951448446,0.9999812464441125
in,0.106,0.044444444444444446,0.04444527978833746,0.9999812051156615
in,0.107,0.044444444444444446,0.04444528162910926,0.9999811636998546
in,0.108,0.044444444444444446,0.04444528347377167,0.9999811221965157
in,0.109,0.044444444444444446,0.04444528532233252,0.9999810806054685
in,0.11,0.044444444444444446,0.044445287174799696,0.999981038926536
in,0.111,0.044444444444444446,0.04444528903118104,0.9999809971595414
in,0.112,0.044444444444444446,0.04444529089148446,0.999980955304307
in,0.113,0.044444444444444446,0.044445292755717854,0.9999809133606551
in,0.114,0.044444444444444446,0.04444529462388914,0.9999808713284075
in,0.115,0.044444444444444446,0.044445296496006245,0.9999808292073858
in,0.116,0.044444444444444446,0.04444529837207713,0.9999807869974112
in,0.117,0.044444444444444446,0.04444530025210975,0.9999807446983044
in,0.11800000000000001,0.044444444444444446,0.044445302136112086,0.9999807023098861
in,0.11900000000000001,0.044444444444444446,0.04444530402409213,0.9999806598319765
in,0.12,0.044444444444444446,0.044445305916057894,0.9999806172643951
in,0.121,0.044444444444444446,0.044445307812017394,0.9999805746069619
in,0.122,0.044444444444444446,0.04444530971197869,0.9999805318594954
in,0.123,0.044444444444444446,0.04444531161594981,0.9999804890218149
in,0.124,0.044444444444444446,0.044445313523938844,0.9999804460937388
in,0.125,0.044444444444444446,0.04444531543595387,0.999980403075085
in,0.126,0.044444444444444446,0.044445317352002994,0.9999803599656711
in,0.127,0.044444444444444446,0.04444531927209433,0.999980316765315
in,0.128,0.044444444444444446,0.04444532119623601,0.9999802734738333
in,0.129,0.044444444444444446,0.04444532312443618,0.9999802300910431
in,0.13,0.044444444444444446,0.044445325056703004,0.9999801866167604
in,0.131,0.044444444444444446,0.04444532699304466,0.9999801430508014
in,0.132,0.044444444444444446,0.04444532893346935,0.9999800993929817
in,0.133,0.044444444444444446,0.04444533087798527,0.9999800556431166
in,0.134,0.044444444444444446,0.04444533282660065,0.9999800118010215
in,0.135,0.044444444444444446,0.04444533477932374,0.9999799678665103
in,0.136,0.044444444444444446,0.04444533673616279,0.9999799238393975
in,0.137,0.044444444444444446,0.04444533869712607,0.9999798797194972
in,0.138,0.044444444444444446,0.044445340662221874,0.9999798355066228
in,0.139,0.044444444444444446,0.0444453426314585,0.9999797912005876
in,0.14,0.044444444444444446,0.04444534460484427,0.9999797468012044
in,0.14100000000000001,0.044444444444444446,0.04444534658238752,0.9999797023082856
in,0.14200000000000002,0.044444444444444446,0.0444453485640966,0.9999796577216433
in,0.14300000000000002,0.044444444444444446,0.04444535054997988,0.9999796130410893
in,0.14400000000000002,0.044444444444444446,0.04444535254004574,0.9999795682664352
in,0.145,0.044444444444444446,0.04444535453430258,0.9999795233974919
in,0.146,0.044444444444444446,0.04444535653275882,0.9999794784340699
in,0.147,0.044444444444444446,0.044445358535422884,0.9999794333759798
in,0.148,0.044444444444444446,0.04444536054230322,0.9999793882230317
in,0.149,0.044444444444444446,0.044445362553408294,0.9999793429750349
in,0.15,0.044444444444444446,0.044445364568746586,0.9999792976317988
in,0.151,0.044444444444444446,0.04444536658832659,0.9999792521931322
in,0.152,0.044444444444444446,0.04444536861215682,0.9999792066588437
in,0.153,0.044444444444444446,0.04444537064024579,0.9999791610287415
in,0.154,0.044444444444444446,0.04444537267260206,0.9999791153026334
in,0.155,0.044444444444444446,0.04444537470923418,0.9999790694803268
in,0.156,0.044444444444444446,0.044445376750150735,0.9999790235616287
in,0.157,0.044444444444444446,0.044445378795360306,0.999978977546346
in,0.158,0.044444444444444446,0.04444538084487151,0.9999789314342848
in,0.159,0.044444444444444446,0.04444538289869298,0.9999788852252511
in,0.16,0.044444444444444446,0.04444538495683334,0.9999788389190507
in,0.161,0.044444444444444446,0.04444538701930126,0.9999787925154887
in,0.162,0.044444444444444446,0.0444453890861054,0.99997874601437
in,0.163,0.044444444444444446,0.044445391157254474,0.9999786994154989
in,0.164,0.044444444444444446,0.04444539323275717,0.9999786527186799
in,0.165,0.044444444444444446,0.04444539531262222,0.9999786059237165
in,0.166,0.044444444444444446,0.044445397396858356,0.9999785590304121
in,0.167,0.044444444444444446,0.044445399485474345,0.9999785120385697
in,0.168,0.044444444444444446,0.044445401578478955,0.999978464947992
in,0.169,0.044444444444444446,0.04444540367588098,0.9999784177584813
in,0.17,0.044444444444444446,0.044445405777689226,0.9999783704698392
in,0.171,0.044444444444444446,0.044445407883912505,0.9999783230818676
in,0.17200000000000001,0.044444444444444446,0.044445409994559676,0.9999782755943674
in,0.17300000000000001,0.044444444444444446,0.044445412109639586,0.9999782280071393
in,0.17400000000000002,0.044444444444444446,0.0444454142291611,0.9999781803199841
in,0.17500000000000002,0.044444444444444446,0.04444541635313313,0.9999781325327012
in,0.176,0.044444444444444446,0.04444541848156456,0.9999780846450907
in,0.177,0.044444444444444446,0.044445420614464326,0.9999780366569517
in,0.178,0.044444444444444446,0.04444542275184137,0.999977988568083
in,0.179,0.044444444444444446,0.04444542489370465,0.999977940378283
in,0.18,0.044444444444444446,0.044445427040063136,0.9999778920873501
in,0.181,0.044444444444444446,0.04444542919092582,0.9999778436950818
in,0.182,0.044444444444444446,0.04444543134630172,0.9999777952012754
in,0.183,0.044444444444444446,0.044445433506199845,0.9999777466057281
in,0.184,0.044444444444444446,0.04444543567062926,0.9999776979082361
in,0.185,0.044444444444444446,0.044445437839599006,0.9999776491085959
in,0.186,0.044444444444444446,0.04444544001311817,0.9999776002066032
in,0.187,0.044444444444444446,0.04444544219119584,0.9999775512020536
in,0.188,0.044444444444444446,0.04444544437384113,0.9999775020947417
in,0.189,0.044444444444444446,0.044445446561063175,0.9999774528844625
in,0.19,0.044444444444444446,0.04444544875287111,0.9999774035710102
in,0.191,0.044444444444444446,0.044445450949274115,0.9999773541541784
in,0.192,0.044444444444444446,0.04444545315028135,0.9999773046337609
in,0.193,0.044444444444444446,0.04444545535590203,0.9999772550095507
in,0.194,0.044444444444444446,0.04444545756614536,0.9999772052813405
in,0.195,0.044444444444444446,0.044445459781020574,0.9999771554489225
in,0.196,0.044444444444444446,0.04444546200053693,0.9999771055120887
in,0.197,0.044444444444444446,0.04444546422470368,0.9999770554706306
in,0.198,0.044444444444444446,0.04444546645353013,0.9999770053243393
in,0.199,0.044444444444444446,0.04444546868702557,0.9999769550730057
in,0.2,0.044444444444444446,0.04444547092519932,0.9999769047164198
in,0.201,0.044444444444444446,0.044445473168060724,0.9999768542543717
in,0.202,0.044444444444444446,0.04444547541561913,0.9999768036866511
in,0.203,0.044444444444444446,0.04444547766788391,0.999976753013047
in,0.20400000000000001,0.044444444444444446,0.04444547992486447,0.999976702233348
in,0.20500000000000002,0.044444444444444446,0.044445482186570205,0.9999766513473427
in,0.20600000000000002,0.044444444444444446,0.04444548445301054,0.9999766003548192
in,0.20700000000000002,0.044444444444444446,0.044445486724194926,0.9999765492555646
in,0.20800000000000002,0.044444444444444446,0.04444548900013282,0.9999764980493662
in,0.209,0.044444444444444446,0.04444549128083371,0.9999764467360109
in,0.21,0.044444444444444446,0.04444549356630708,0.999976395315285
in,0.211,0.044444444444444446,0.04444549585656246,0.9999763437869743
in,0.212,0.044444444444444446,0.04444549815160937,0.9999762921508646
in,0.213,0.044444444444444446,0.04444550045145737,0.9999762404067409
in,0.214,0.044444444444444446,0.04444550275611603,0.9999761885543879
in,0.215,0.044444444444444446,0.044445505065594935,0.9999761365935897
in,0.216,0.044444444444444446,0.04444550737990369,0.9999760845241308
in,0.217,0.044444444444444446,0.044445509699051915,0.9999760323457941
in,0.218,0.044444444444444446,0.04444551202304926,0.9999759800583631
in,0.219,0.044444444444444446,0.04444551435190538,0.9999759276616205
in,0.22,0.044444444444444446,0.04444551668562995,0.9999758751553482
in,0.221,0.044444444444444446,0.044445519024232674,0.9999758225393286
in,0.222,0.044444444444444446,0.04444552136772326,0.9999757698133428
in,0.223,0.044444444444444446,0.04444552371611144,0.9999757169771721
in,0.224,0.044444444444444446,0.04444552606940698,0.9999756640305968
in,0.225,0.044444444444444446,0.044445528427619625,0.9999756109733976
in,0.226,0.044444444444444446,0.044445530790759184,0.9999755578053539
in,0.227,0.044444444444444446,0.044445533158835454,0.9999755045262453
in,0.228,0.044444444444444446,0.04444553553185826,0.9999754511358507
in,0.229,0.044444444444444446,0.04444553790983744,0.9999753976339489
in,0.23,0.044444444444444446,0.044445540292782866,0.9999753440203178
in,0.231,0.044444444444444446,0.04444554268070442,0.9999752902947352
in,0.232,0.044444444444444446,0.04444554507361199,0.9999752364569786
in,0.233,0.044444444444444446,0.044445547471515495,0.9999751825068246
in,0.234,0.044444444444444446,0.04444554987442488,0.9999751284440499
in,0.23500000000000001,0.044444444444444446,0.044445552282350094,0.9999750742684305
in,0.23600000000000002,0.044444444444444446,0.04444555469530111,0.9999750199797421
in,0.23700000000000002,0.044444444444444446,0.04444555711328792,0.9999749655777599
in,0.23800000000000002,0.044444444444444446,0.04444555953632054,0.9999749110622584
in,0.23900000000000002,0.044444444444444446,0.04444556196440899,0.9999748564330125
in,0.24,0.044444444444444446,0.04444556439756333,0.9999748016897959
in,0.241,0.044444444444444446,0.04444556683579362,0.9999747468323822
in,0.242,0.044444444444444446,0.04444556927910995,0.9999746918605443
in,0.243,0.044444444444444446,0.04444557172752242,0.9999746367740551
in,0.244,0.044444444444444446,0.04444557418104116,0.9999745815726867
in,0.245,0.044444444444444446,0.04444557663967632,0.999974526256211
in,0.246,0.044444444444444446,0.04444557910343805,0.9999744708243994
in,0.247,0.044444444444444446,0.04444558157233653,0.9999744152770229
in,0.248,0.044444444444444446,0.04444558404638197,0.999974359613852
in,0.249,0.044444444444444446,0.04444558652558459,0.9999743038346566
in,0.25,0.044444444444444446,0.04444558900995462,0.9999742479392068
in,0.251,0.044444444444444446,0.04444559149950233,0.9999741919272714
in,0.252,0.044444444444444446,0.04444559399423798,0.9999741357986196
in,0.253,0.044444444444444446,0.04444559649417189,0.9999740795530195
in,0.254,0.044444444444444446,0.044445598999314356,0.9999740231902392
in,0.255,0.044444444444444446,0.04444560150967572,0.9999739667100461
in,0.256,0.044444444444444446,0.044445604025266344,0.9999739101122073
in,0.257,0.044444444444444446,0.04444560654609659,0.9999738533964895
in,0.258,0.044444444444444446,0.04444560907217686,0.9999737965626588
in,0.259,0.044444444444444446,0.04444561160351756,0.9999737396104812
in,0.26,0.044444444444444446,0.044445614140129125,0.9999736825397216
in,0.261,0.044444444444444446,0.044445616682022016,0.9999736253501452
in,0.262,0.044444444444444446,0.04444561922920669,0.9999735680415165
in,0.263,0.044444444444444446,0.04444562178169365,0.9999735106135991
in,0.264,0.044444444444444446,0.0444456243394934,0.9999734530661569
in,0.265,0.044444444444444446,0.04444562690261648,0.9999733953989529
in,0.266,0.044444444444444446,0.044445629471073424,0.9999733376117499
in,0.267,0.044444444444444446,0.04444563204487481,0.99997327970431
in,0.268,0.044444444444444446,0.044445634624031234,0.9999732216763951
in,0.269,0.044444444444444446,0.0444456372085533,0.9999731635277663
in,0.27,0.044444444444444446,0.04444563979845165,0.9999731052581846
in,0.271,0.044444444444444446,0.044445642393736905,0.9999730468674106
in,0.272,0.044444444444444446,0.04444564499441976,0.9999729883552041
in,0.273,0.044444444444444446,0.044445647600510896,0.9999729297213247
in,0.274,0.044444444444444446,0.04444565021202102,0.9999728709655316
in,0.275,0.044444444444444446,0.04444565282896086,0.9999728120875834
in,0.276,0.044444444444444446,0.04444565545134117,0.9999727530872381
in,0.277,0.044444444444444446,0.04444565807917273,0.9999726939642536
in,0.278,0.044444444444444446,0.044445660712466306,0.9999726347183873
in,0.279,0.044444444444444446,0.04444566335123272,0.9999725753493959
in,0.28,0.044444444444444446,0.04444566599548281,0.9999725158570357
in,0.281,0.044444444444444446,0.044445668645227414,0.9999724562410628
in,0.28200000000000003,0.044444444444444446,0.044445671300477406,0.9999723965012326
