date,sub_n,screen_id,trial_type,response,rt
20211110,100,enter-sub-number,survey-html-form,"{""""response"""":""""100""""}",81442
20211110,100,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""because it's the longest line """"}",29254
20211110,100,,survey-text,"{""""learn_free_response"""":""""I tried to evaluate the line as short, medium or long """"}",25976
20211110,100,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",16550
20211110,100,,survey-text,"{""""transfer_free_response"""":""""I picked the shortest or longest line when there were 3 lines depending on the length of the other lines. """"}",74230
20211110,100,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",9586
20211110,101,enter-sub-number,survey-html-form,"{""""response"""":""""101""""}",133038
20211110,101,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""target"""",""""response"""":""""guessed""""}",17422
20211110,101,,survey-text,"{""""learn_free_response"""":""""guessed""""}",40152
20211110,101,,survey-multi-choice,"{""""learn_strategy"""":""""I used a simple mental rule to determine if I should respond yes or no to a given line.""""}",5464
20211110,101,,survey-text,"{""""transfer_free_response"""":""""pattern""""}",17170
20211110,101,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick the longest line.""""}",5822
20211110,102,enter-sub-number,survey-html-form,"{""""response"""":""""102""""}",159694
20211110,102,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""It is the longest and many of the medium lines were not in the catagory. """"}",44764
20211110,102,,survey-text,"{""""learn_free_response"""":""""At first, I guessed a little bit with which lines would belong, but I payed attention to weather my guesses were right or wrong. After getting the hang of which lines belonged in the catagory I got a better understanding and began to know rather then guess. I still got many wrong. """"}",89230
20211110,102,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",14596
20211110,102,,survey-text,"{""""transfer_free_response"""":""""I tried to remeber which lines I had seen before in the first part, and also eariler in the same part and pick those. I found this hard and still got many wrong because the lines looked alike. """"}",50372
20211110,102,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",11274
20211110,103,enter-sub-number,survey-html-form,"{""""response"""":""""103""""}",3260
20211110,103,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""taller then other two""""}",15328
20211110,103,,survey-text,"{""""learn_free_response"""":""""okay it was harder then second part""""}",15350
20211110,103,,survey-multi-choice,"{""""learn_strategy"""":""""I used a simple mental rule to determine if I should respond yes or no to a given line.""""}",6180
20211110,103,,survey-text,"{""""transfer_free_response"""":""""comparing if a line was a lot taller or a lot shorter""""}",20152
20211110,103,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",10510
20211110,104,enter-sub-number,survey-html-form,"{""""response"""":""""104""""}",3638
20211110,104,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""decoy"""",""""response"""":""""Because it is not long""""}",51088
20211110,104,,survey-text,"{""""learn_free_response"""":""""I generally wend with what felt right. That included avoiding lines that were not logestbut not short.""""}",78724
20211110,104,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",29790
20211110,104,,survey-text,"{""""transfer_free_response"""":""""I tended twords what felt right but that was generally saying less to shorter lines if they were with medium to log lines and long lines if they were with medium to long lines.""""}",74792
20211110,104,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",27900
20211110,105,enter-sub-number,survey-html-form,"{""""response"""":""""105""""}",2900
20211110,105,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""the line in the category were very unequal, short line is very short and long lines are very long. I chose it because its longer than the rest""""}",72509
20211110,105,,survey-text,"{""""learn_free_response"""":""""I use my feelings half of the time, the other half was more obvious and I can tell for sure which is which""""}",56286
20211110,105,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",12039
