sub_n,trial_num,line1,line2,line3,trial_type,choice_set,target,decoy,competitor,choice
100,1,339.6347,208.5062,NA,attraction,binary,208.5062,NA,339.6347,339.6347
103,1,240.0202,275.5735,426.1457,filler_easy,trinary,NA,NA,NA,426.1457
104,1,352.61297000858667,315.43655390547224,NA,filler_sample,binary,NA,NA,NA,352.61297000858667
105,1,439.3175554160266,253.3779891577804,316.56096768999026,filler_sample,trinary,NA,NA,NA,439.3175554160266
106,1,323.4616,208.5062,NA,attraction,binary,323.4616,NA,208.5062,323.4616
107,1,234.3691391563804,406.8392542271313,244.42663690260096,filler_sample,trinary,NA,NA,NA,406.8392542271313
108,1,403.1313652270484,245.3689570934044,NA,filler_sample,binary,NA,NA,NA,403.1313652270484
109,1,198.5774,339.6347,NA,attraction,binary,339.6347,NA,198.5774,339.6347
111,1,269.8011,416.5808,NA,filler_easy,binary,NA,NA,NA,416.5808
112,1,198.5774,323.4616,NA,attraction,binary,323.4616,NA,198.5774,198.5774
113,1,208.5062,356.6164,NA,attraction,binary,208.5062,NA,356.6164,356.6164
114,1,216.1611411127617,241.22351835257732,272.13568179152395,filler_sample,trinary,NA,NA,NA,216.1611411127617
115,1,356.6164,208.5062,NA,attraction,binary,208.5062,NA,356.6164,356.6164
116,1,228.57709384717728,361.18311865935016,NA,filler_sample,binary,NA,NA,NA,361.18311865935016
117,1,208.5062,356.6164,NA,attraction,binary,208.5062,NA,356.6164,356.6164
118,1,234.67901002007403,184.27064690625832,NA,filler_sample,binary,NA,NA,NA,184.27064690625832
119,1,323.4616,208.5062,NA,attraction,binary,208.5062,NA,323.4616,323.4616
125,1,218.9315,356.6164,208.5062,attraction,trinary,208.5062,218.9315,356.6164,356.6164
126,1,247.63052510316297,245.47133170252212,NA,filler_sample,binary,NA,NA,NA,245.47133170252212
127,1,308.0587,198.5774,323.4616,attraction,trinary,323.4616,308.0587,198.5774,198.5774
129,1,208.5062,356.6164,NA,attraction,binary,208.5062,NA,356.6164,208.5062
131,1,356.6164,208.5062,NA,attraction,binary,208.5062,NA,356.6164,356.6164
133,1,356.6164,208.5062,339.6347,attraction,trinary,356.6164,339.6347,208.5062,356.6164
136,1,208.5062,339.6347,NA,attraction,binary,339.6347,NA,208.5062,339.6347
137,1,323.4616,339.6347,198.5774,attraction,trinary,339.6347,323.4616,198.5774,198.5774
138,1,189.1213,323.4616,NA,attraction,binary,189.1213,NA,323.4616,323.4616
139,1,208.5062,198.5774,339.6347,attraction,trinary,198.5774,208.5062,339.6347,339.6347
140,1,296.7966982792303,304.9459231141883,295.12985842080224,filler_sample,trinary,NA,NA,NA,304.9459231141883
142,1,208.5062,339.6347,NA,attraction,binary,339.6347,NA,208.5062,339.6347
