success,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_name,date,sub_n,rt,response,url,timeout,failed_images,failed_audio,failed_video,view_history,stim,stim_vals,line_lens_order,stim_vals_order_psy,choices,stim_names,corr_ans,give_fb,in_cat,key_choice,choice,choice_psy,correct,fb_in_cat,line_1_in_order,line_2_in_order,line_3_in_order,psy_1_in_order,psy_2_in_order,psy_3_in_order,line_length,exp_trial_type,jnds,dens,distribution,correct_1_psy,correct_2_psy,correct_1_phy,transfer_trial_type,trial_choice_set,difficulty,target_side,competitor_side,tc_correct,side_correct,stim_1_psy,stim_2_psy,stim_3_psy,stim_1_phy,stim_2_phy,stim_3_phy,target_phy,competitor_phy,decoy_phy,target_psy,competitor_psy,decoy_psy,attr_choice,question_order,stimulus
TRUE,enter-fullscreen-mode,fullscreen,0,2134,0.0-0.0,line_cat_multi_stim_2,20211203,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,enter-sub-number,survey-html-form,1,7336,0.0-1.0,line_cat_multi_stim_2,20211203,300,5189,"{""response"":""151""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,external-html,2,67175,0.0-2.0,line_cat_multi_stim_2,20211203,300,59829,,consent.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,preload,3,67189,0.0-3.0-0.0,line_cat_multi_stim_2,20211203,300,,,,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,instructions,instructions,4,117231,0.0-3.0-1.0,line_cat_multi_stim_2,20211203,300,50041,,,,,,,"[{""page_index"":0,""viewing_time"":3248},{""page_index"":1,""viewing_time"":7880},{""page_index"":2,""viewing_time"":9040},{""page_index"":3,""viewing_time"":11320},{""page_index"":4,""viewing_time"":9664},{""page_index"":5,""viewing_time"":2568},{""page_index"":6,""viewing_time"":6320}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,demo-lines,draw-demo-lines,5,177246,0.0-3.0-2.0,line_cat_multi_stim_2,20211203,300,,,,,,,,,lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,click-to-begin-the-experiment,instructions,6,179162,0.0-3.0-3.0,line_cat_multi_stim_2,20211203,300,1915,,,,,,,"[{""page_index"":0,""viewing_time"":1915}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,learn_trial,categorize-lines-2,7,187388,0.0-4.0-0.0,line_cat_multi_stim_2,20211203,300,6186,,,,,,,,,[217.0172],[217.0172],"[7.569995413282384,null,null]","[""u"",""i""]","[""""]",null,TRUE,in,u,YES,NA,1,in,217.0172,,,7.569995413,NaN,NaN,217.0172,learning,7.57,0.0444,in,,,,,,,,,,,,,,,,,,,,,,,,,
,learn_trial,categorize-lines-2,8,193835,0.0-4.0-0.1,line_cat_multi_stim_2,20211203,300,4402,,,,,,,,,[278.0583],[278.0583],"[12.649998628714304,null,null]","[""u"",""i""]","[""""]",null,TRUE,out,i,NO,NA,1,out,278.0583,,,12.64999863,NaN,NaN,278.0583,learning,12.65,0.1461,out,,,,,,,,,,,,,,,,,,,,,,,,,
,learn_trial,categorize-lines-2,9,199344,0.0-4.0-0.2,line_cat_multi_stim_2,20211203,300,1464,,,,,,,,,[290.1153],[290.1153],"[13.520002387858053,null,null]","[""u"",""i""]","[""""]",null,TRUE,out,u,YES,NA,0,out,290.1153,,,13.52000239,NaN,NaN,290.1153,learning,13.52,0.1066,out,,,,,,,,,,,,,,,,,,,,,,,,,
