trial_choice_set,side_correct,difficulty,stim_1_psy,stim_2_psy,stim_3_psy,transfer_trial_type,correct_1_psy,correct_2_psy,tc_correct,target_side,competitor_side,option,jnds,dens,option_abbrev
trinary,equal,equal_chance_5_JND,15.75,6.75,14.75,attraction,15.75,6.75,both,right,left,target,15.75,0.044444444444444446,T
trinary,equal,equal_chance_5_JND,15.75,6.75,14.75,attraction,15.75,6.75,both,right,left,competitor,6.75,0.044444444444444446,C
trinary,equal,equal_chance_5_JND,15.75,6.75,14.75,attraction,15.75,6.75,both,right,left,decoy,14.75,0.044444444444444446,D
trinary,equal,equal_chance_5_JND,15.75,6.75,7.75,attraction,6.75,15.75,both,left,right,target,6.75,0.044444444444444446,T
trinary,equal,equal_chance_5_JND,15.75,6.75,7.75,attraction,6.75,15.75,both,left,right,competitor,15.75,0.044444444444444446,C
trinary,equal,equal_chance_5_JND,15.75,6.75,7.75,attraction,6.75,15.75,both,left,right,decoy,7.75,0.044444444444444446,D
trinary,equal,equal_chance_6_JND,16.75,5.75,15.75,attraction,16.75,5.75,both,right,left,target,16.75,0.044444444444444446,T
trinary,equal,equal_chance_6_JND,16.75,5.75,15.75,attraction,16.75,5.75,both,right,left,competitor,5.75,0.044444444444444446,C
trinary,equal,equal_chance_6_JND,16.75,5.75,15.75,attraction,16.75,5.75,both,right,left,decoy,15.75,0.044444444444444446,D
trinary,equal,equal_chance_6_JND,16.75,5.75,6.75,attraction,5.75,16.75,both,left,right,target,5.75,0.044444444444444446,T
trinary,equal,equal_chance_6_JND,16.75,5.75,6.75,attraction,5.75,16.75,both,left,right,competitor,16.75,0.044444444444444446,C
trinary,equal,equal_chance_6_JND,16.75,5.75,6.75,attraction,5.75,16.75,both,left,right,decoy,6.75,0.044444444444444446,D
trinary,left,easy,4.75,15.75,5.75,attraction,4.75,4.75,target,left,right,target,4.75,0.044444444444444446,T
trinary,left,easy,4.75,15.75,5.75,attraction,4.75,4.75,target,left,right,competitor,15.75,0.044444444444444446,C
trinary,left,easy,4.75,15.75,5.75,attraction,4.75,4.75,target,left,right,decoy,5.75,0.044444444444444446,D
trinary,left,easy,4.75,15.75,14.75,attraction,4.75,4.75,competitor,right,left,target,15.75,0.044444444444444446,T
trinary,left,easy,4.75,15.75,14.75,attraction,4.75,4.75,competitor,right,left,competitor,4.75,0.044444444444444446,C
trinary,left,easy,4.75,15.75,14.75,attraction,4.75,4.75,competitor,right,left,decoy,14.75,0.044444444444444446,D
trinary,left,difficult,5.75,15.75,6.75,attraction,5.75,5.75,target,left,right,target,5.75,0.044444444444444446,T
trinary,left,difficult,5.75,15.75,6.75,attraction,5.75,5.75,target,left,right,competitor,15.75,0.044444444444444446,C
trinary,left,difficult,5.75,15.75,6.75,attraction,5.75,5.75,target,left,right,decoy,6.75,0.044444444444444446,D
trinary,left,difficult,5.75,15.75,14.75,attraction,5.75,5.75,competitor,right,left,target,15.75,0.044444444444444446,T
trinary,left,difficult,5.75,15.75,14.75,attraction,5.75,5.75,competitor,right,left,competitor,5.75,0.044444444444444446,C
trinary,left,difficult,5.75,15.75,14.75,attraction,5.75,5.75,competitor,right,left,decoy,14.75,0.044444444444444446,D
