distribution,jnds,dens,line_len
in,0.98,0.044444444444444446,157.34638594360578
out,6.6899999999999995,0.022741653841490583,207.89673548124208
in,1,0.044444444444444446,157.5
out,4.88,0.0032229337303310646,190.32464943134286
in,0.78,0.044444444444444446,155.81846163501905
out,8.13,0.06779340241120524,223.0284470996767
in,1.3800000000000001,0.044444444444444446,160.44732902619714
out,8.03,0.06367853888906329,221.94293790677847
in,1.36,0.044444444444444446,160.29084035921724
out,7.03,0.030539862023227386,211.37422657788426
in,1.42,0.044444444444444446,160.7607648393585
out,7.49,0.04388536661598126,216.17183497879608
in,0.41000000000000003,0.044444444444444446,153.03080812338288
out,8.7,0.09328551842520282,229.318008210836
in,1.7,0.044444444444444446,162.97202709806703
out,7.88,0.05775546442838076,220.3245722979583
in,1.1500000000000001,0.044444444444444446,158.65689585020263
out,7.76,0.05324555161524958,219.0383805361364
in,0.12,0.044444444444444446,150.88079889835313
out,7.77,0.05361335588388835,219.1452757966601
in,4.1,0.044444444444444446,183.21768239229826
out,8.65,0.0909429859256833,228.75926685161988
in,2.66,0.044444444444444446,170.78699397828106
out,8.41,0.07994066194155097,226.09620052933164
in,2.83,0.044444444444444446,172.20944830530104
out,8.94,0.10467547823363946,232.0190224841001
in,3.5,0.044444444444444446,177.93189570665973
out,7.82,0.05547440098124511,219.6805351151114
in,2.55,0.044444444444444446,169.87284943977062
out,7.39,0.04070380881571565,215.11969783142007
in,4.35,0.044444444444444446,185.4661727421618
out,8.89,0.10228910351168513,231.45370000900007
in,3.7,0.044444444444444446,179.67665987561892
out,10.89,0.1750527054998401,255.1777042599226
in,4.45,0.044444444444444446,186.37327633095822
out,10.43,0.16591526833436507,249.51441931901954
in,3.38,0.044444444444444446,176.89318025138238
out,10.07,0.1545265792017705,245.1700980210488
in,2.94,0.044444444444444446,173.13616689021535
out,9.37,0.1250621182236165,236.9381489933813
in,5.57,0.044444444444444446,196.84104178282956
out,9.44,0.1282936363680085,237.7487500160647
in,4.79,0.044444444444444446,189.49074427768997
out,10.43,0.16591526833436507,249.51441931901954
in,4.75,0.044444444444444446,189.121293525334
out,10.02,0.15269842237552253,244.57273248976662
in,4.66,0.044444444444444446,188.2926608610549
out,10.02,0.15269842237552253,244.57273248976662
in,5.83,0.044444444444444446,199.3539625944241
out,9.64,0.13726003964628644,240.08006615584628
in,6.34,0.044444444444444446,204.3767153835816
out,10.55,0.16893128610301023,250.97956615674897
in,6.390000000000001,0.044444444444444446,204.87590269659052
out,10.59,0.16984136946742917,251.46985779876422
in,5.6,0.044444444444444446,197.12936994734582
out,9.25,0.11944134027223988,235.55497192820818
in,6.55,0.044444444444444446,206.48151019935023
out,11.24,0.17730603065020242,259.57267971387273
in,4.66,0.044444444444444446,188.2926608610549
out,9.21,0.1175501299699515,235.09570959361872
in,7.02,0.044444444444444446,211.2711219002411
out,9.85,0.14610227000170872,242.5525556352168
in,7.57,0.044444444444444446,217.01724856556964
out,9.95,0.15005074285904849,243.73886519471975
in,8.620000000000001,0.044444444444444446,228.4246757171531
out,11.24,0.17730603065020242,259.57267971387273
in,7.37,0.044444444444444446,214.90988570828236
out,11.18,0.17722199437917677,258.8139152436035
in,7.44,0.044444444444444446,215.64512473112444
out,11.16,0.17716599232742264,258.5614869555283
in,7.57,0.044444444444444446,217.01724856556964
out,10.09,0.15524248866177545,245.40945257017128
in,8.17,0.044444444444444446,223.4641358898801
out,9.86,0.14650541811691062,242.67092629958097
in,7.3100000000000005,0.044444444444444446,214.28167635372006
out,9.72,0.14070803965098055,241.01898102355585
in,8.43,0.044444444444444446,226.31693362269343
out,9.24,0.11896922909519372,235.44007230283236
in,8.59,0.044444444444444446,228.09057396713308
out,9.88,0.14730632518155115,242.90784095849907
in,10.94,0.044444444444444446,255.8009722887204
out,9.43,0.12783450345360048,237.6327803038281
in,9.64,0.044444444444444446,240.08006615584628
out,10.620000000000001,0.1704917831450213,251.83820497816131
in,11.07,0.044444444444444446,257.4286029221013
out,9.88,0.14730632518155115,242.90784095849907
in,9.23,0.044444444444444446,235.32522872349884
out,9.11,0.1127960059311119,233.95146742499193
in,10.42,0.044444444444444446,249.39271051758377
out,10.82,0.1740992213734822,254.3076794626309
in,9.89,0.044444444444444446,243.02638500945008
out,9.14,0.11422538096022238,234.29415407497905
in,9.52,0.044444444444444446,238.67854747798532
out,10.35,0.16367571174838827,248.5424095751743
in,10.05,0.044444444444444446,244.93097692096254
out,10.14,0.15699252833227265,246.008861778728
in,10.99,0.044444444444444446,256.425762641096
out,9.1,0.1123190961320689,233.8373499612712
in,9.15,0.044444444444444446,234.40849446855628
out,9.78,0.14323188360869513,241.72557610477094
in,13.120000000000001,0.044444444444444446,284.50824903572436
out,13.36,0.11422538096022238,287.85931966250365
in,11.8,0.044444444444444446,266.76262854099934
out,11.47,0.1764622294374109,262.501941217768
in,12.28,0.044444444444444446,273.08374601337357
out,12.12,0.1645363547501552,270.96023717688036
in,12.4,0.044444444444444446,274.6872917643518
out,11.4,0.17691420200944696,261.6069445374779
in,12.24,0.044444444444444446,272.5513136995664
out,12.03,0.16696733825471696,269.7730281690512
in,13,0.044444444444444446,282.8473713484855
out,12.83,0.13856355180373972,280.5110450248125
in,11.36,0.044444444444444446,261.09688858276974
out,12.7,0.1440604181225942,278.73747221782253
in,11.9,0.044444444444444446,268.067348070866
out,11.33,0.1771957412136253,260.7149993357941
in,12.98,0.044444444444444446,282.571502573544
out,11.25,0.17730778182952328,259.69935655084953
in,12.41,0.044444444444444446,274.8213448446559
out,13.23,0.12038405648248604,286.03928629609237
in,14.67,0.044444444444444446,306.85858382741816
out,13.24,0.11991295627585159,286.1788793845447
in,13.7,0.044444444444444446,292.6743458287137
out,13.48,0.10849851492726113,289.54962747343313
in,15.45,0.044444444444444446,318.7615498099256
out,12.01,0.16747602208459908,269.5099111584937
in,14.37,0.044444444444444446,302.3997910131306
out,12.44,0.15416529554295327,275.22389673734693
in,15.23,0.044444444444444446,315.3583131414419
out,11.32,0.17722199437917677,260.5878270859014
in,14.83,0.044444444444444446,309.2634271398558
out,11.96,0.16869619737472935,268.85324081996333
in,15.31,0.044444444444444446,316.59162923304984
out,13.29,0.1175501299699515,286.8778673566909
in,14.27,0.044444444444444446,300.9279709052296
out,11.61,0.1750527054998401,264.3011308081502
in,14.36,0.044444444444444446,302.25228564562883
out,11.33,0.1771957412136253,260.7149993357941
in,14.52,0.044444444444444446,304.6210295104336
out,12.18,0.1627906273974183,271.7546110057837
in,17.49,0.044444444444444446,352.12114045758085
out,12.9,0.1355036007782035,281.47071547440925
in,15.87,0.044444444444444446,325.36095586554217
out,13.4,0.1123190961320689,288.4216563525694
in,17,0.044444444444444446,343.8027476701551
out,12.65,0.14610227000170872,278.0583186035618
in,16.52,0.044444444444444446,335.8446850352531
