participant,computer_number,exp_condition,trial_type,set_type,set,difficulty_level,stim_order,stim_1_phy,stim_2_phy,stim_3_phy,stim_1_psy,stim_2_psy,stim_3_psy,stim_1_phy_shuffled,stim_2_phy_shuffled,stim_3_phy_shuffled,stim_1_psy_shuffled,stim_2_psy_shuffled,stim_3_psy_shuffled,key_correct_1,key_correct_2,key_resp,choice_num,choice_stim_phy,choice_stim_psy,correct,rt,stim_min,stim_max,choice
1,1,centered,attraction,binary,l-s,equal_2_jnd,[1 0],236,286,NA,9.25,13.25,NA,286,236,NA,13.25,9.25,NA,j,k,k,2,236,9.25,1,8.760498046875,13.25,9.25,l
1,1,centered,filler,trinary,NA,NA,[0 2 1],232,272,361.0,8.897313637584615,12.21474049554672,18.0,232,361,272,8.897313637584615,18,12.21474049554672,j,NA,j,1,232,8.897313637584615,1,7.963935136795044,12.2147404955467,8.89731363758461,NA
1,1,centered,attraction,binary,l-s,equal_1_jnd,[1 0],247,273,NA,10.25,12.25,NA,273,247,NA,12.25,10.25,NA,j,k,j,1,273,12.25,1,5.205684661865234,10.25,12.25,l
1,1,centered,attraction,trinary,l-s-dl,easy,[2 1 0],247,301,331.0,10.25,14.25,16.25,331,301,247,16.25,14.25,10.25,l,NA,k,2,301,14.25,0,8.836004257202148,10.25,16.25,l
1,1,centered,filler,binary,NA,NA,[1 0],241,219,NA,9.692925932172274,7.763479906716384,NA,219,241,NA,7.763479906716384,9.692925932172274,NA,k,NA,k,2,241,9.692925932172274,1,2.763643741607666,7.76347990671638,9.69292593217227,NA
1,1,centered,attraction,trinary,l-s-dl,easy,[0 1 2],224,273,301.0,8.25,12.25,14.25,224,273,301,8.25,12.25,14.25,k,NA,k,2,273,12.25,1,3.8856558799743652,12.25,8.25,s
1,1,centered,attraction,trinary,l-s-dl,easy,[1 0 2],224,273,301.0,8.25,12.25,14.25,273,224,301,12.25,8.25,14.25,j,NA,j,1,273,12.25,1,3.0150842666625977,12.25,8.25,s
1,1,centered,attraction,trinary,l-s-dl,equal_1_jnd,[2 1 0],247,273,301.0,10.25,12.25,14.25,301,273,247,14.25,12.25,10.25,l,k,k,2,273,12.25,1,7.782300233840942,10.25,14.25,l
1,1,centered,filler,binary,NA,NA,[1 0],258,204,NA,11.11596568841289,6.259801906999201,NA,204,258,NA,6.259801906999201,11.11596568841289,NA,k,NA,k,2,258,11.11596568841289,1,1.4464507102966309,11.1159656884129,6.2598019069992,NA
1,1,centered,attraction,binary,l-s,easy,[1 0],224,273,NA,8.25,12.25,NA,273,224,NA,12.25,8.25,NA,j,NA,k,2,224,8.25,0,1.7628464698791504,12.25,8.25,l
1,1,centered,attraction,binary,l-s,difficult,[0 1],247,286,NA,10.25,13.25,NA,247,286,NA,10.25,13.25,NA,j,NA,j,1,247,10.25,1,1.7504911422729492,10.25,13.25,s
1,1,centered,filler,trinary,NA,NA,[1 0 2],294,169,257.0,13.812996056050542,2.4959196138661355,11.0,169,294,257,2.4959196138661355,13.812996056050542,11,k,NA,k,2,294,13.812996056050542,1,2.524911880493164,11.0,2.49591961386614,NA
1,1,centered,filler,binary,NA,NA,[1 0],275,392,NA,12.429210194719555,19.694879207527265,NA,392,275,NA,19.694879207527265,12.429210194719555,NA,k,NA,k,2,275,12.429210194719555,1,2.462280035018921,12.4292101947196,19.6948792075273,NA
1,1,centered,attraction,trinary,l-s-ds,easy,[1 2 0],247,301,224.0,10.25,14.25,8.25,301,224,247,14.25,8.25,10.25,l,NA,j,1,301,14.25,0,4.179828882217407,10.25,8.25,s
1,1,centered,attraction,trinary,l-s-dl,easy,[0 2 1],224,273,301.0,8.25,12.25,14.25,224,301,273,8.25,14.25,12.25,l,NA,k,2,301,14.25,0,3.9782373905181885,12.25,8.25,l
1,1,centered,attraction,binary,l-s,equal_2_jnd,[0 1],236,286,NA,9.25,13.25,NA,236,286,NA,9.25,13.25,NA,j,k,j,1,236,9.25,1,2.002859592437744,13.25,9.25,l
1,1,centered,attraction,trinary,l-s-dl,difficult,[2 1 0],236,273,301.0,9.25,12.25,14.25,301,273,236,14.25,12.25,9.25,k,NA,k,2,273,12.25,1,1.9317395687103271,12.25,9.25,s
1,1,centered,filler,binary,NA,NA,[1 0],205,267,NA,6.451501718212173,11.784537424100565,NA,267,205,NA,11.784537424100565,6.451501718212173,NA,k,NA,j,1,267,11.784537424100565,0,1.5032424926757812,11.7845374241006,6.45150171821217,NA
1,1,centered,attraction,trinary,l-s-ds,equal_1_jnd,[2 0 1],247,273,224.0,10.25,12.25,8.25,224,247,273,8.25,10.25,12.25,k,l,j,1,224,8.25,0,5.831698417663574,10.25,8.25,l
1,1,centered,filler,binary,NA,NA,[1 0],262,192,NA,11.410837720739304,5.025345634203404,NA,192,262,NA,5.025345634203404,11.410837720739304,NA,k,NA,k,2,262,11.410837720739304,1,1.1088216304779053,11.4108377207393,5.0253456342034,NA
1,1,centered,attraction,binary,l-s,equal_2_jnd,[1 0],236,286,NA,9.25,13.25,NA,286,236,NA,13.25,9.25,NA,j,k,j,1,286,13.25,1,1.4197514057159424,13.25,9.25,s
1,1,centered,filler,binary,NA,NA,[0 1],283,301,NA,13.01668875599818,14.257775298901834,NA,283,301,NA,13.01668875599818,14.257775298901834,NA,j,NA,j,1,283,13.01668875599818,1,2.820895195007324,13.0166887559982,14.2577752989018,NA
1,1,centered,filler,binary,NA,NA,[0 1],244,284,NA,9.965048890455945,13.076051014359107,NA,244,284,NA,9.965048890455945,13.076051014359107,NA,j,NA,k,2,284,13.076051014359107,0,2.480645179748535,13.0760510143591,9.96504889045594,NA
1,1,centered,attraction,binary,l-s,easy,[1 0],224,273,NA,8.25,12.25,NA,273,224,NA,12.25,8.25,NA,j,NA,j,1,273,12.25,1,2.4547412395477295,12.25,8.25,s
1,1,centered,attraction,trinary,l-s-dl,easy,[2 1 0],247,301,331.0,10.25,14.25,16.25,331,301,247,16.25,14.25,10.25,l,NA,k,2,301,14.25,0,5.164372444152832,10.25,16.25,l
1,1,centered,attraction,binary,l-s,equal_1_jnd,[0 1],247,273,NA,10.25,12.25,NA,247,273,NA,10.25,12.25,NA,j,k,j,1,247,10.25,1,2.004542589187622,10.25,12.25,s
1,1,centered,attraction,trinary,l-s-dl,difficult,[1 2 0],247,286,316.0,10.25,13.25,15.25,286,316,247,13.25,15.25,10.25,l,NA,k,2,316,15.25,0,3.415895938873291,10.25,15.25,dl
1,1,centered,attraction,trinary,l-s-ds,difficult,[0 2 1],236,273,214.0,9.25,12.25,7.25,236,214,273,9.25,7.25,12.25,l,NA,j,1,236,9.25,0,2.8961679935455322,12.25,9.25,l
1,1,centered,attraction,binary,l-s,difficult,[1 0],236,273,NA,9.25,12.25,NA,273,236,NA,12.25,9.25,NA,j,NA,k,2,236,9.25,0,2.1420094966888428,12.25,9.25,l
1,1,centered,filler,trinary,NA,NA,[0 2 1],242,154,379.0,9.81086720334078,0.4888625058811158,19.0,242,379,154,9.81086720334078,19,0.4888625058811158,j,NA,j,1,242,9.81086720334078,1,8.40861201286316,0.488862505881116,9.81086720334078,NA
1,1,centered,attraction,trinary,l-s-dl,equal_1_jnd,[0 2 1],247,273,301.0,10.25,12.25,14.25,247,301,273,10.25,14.25,12.25,j,l,j,1,247,10.25,1,1.4103953838348389,10.25,14.25,s
1,1,centered,attraction,binary,l-s,equal_1_jnd,[0 1],247,273,NA,10.25,12.25,NA,247,273,NA,10.25,12.25,NA,j,k,j,1,247,10.25,1,1.2357633113861084,10.25,12.25,s
1,1,centered,attraction,trinary,l-s-ds,difficult,[0 1 2],236,273,214.0,9.25,12.25,7.25,236,273,214,9.25,12.25,7.25,k,NA,j,1,236,9.25,0,0.9282751083374023,12.25,9.25,l
1,1,centered,filler,trinary,NA,NA,[0 2 1],271,200,191.0,12.140217947418758,5.942907377611846,5.0,271,191,200,12.140217947418758,5,5.942907377611846,j,NA,j,1,271,12.140217947418758,1,1.7096333503723145,12.1402179474188,5.94290737761185,NA
1,1,centered,attraction,binary,l-s,equal_2_jnd,[0 1],236,286,NA,9.25,13.25,NA,236,286,NA,9.25,13.25,NA,j,k,j,1,236,9.25,1,1.537045955657959,13.25,9.25,l
1,1,centered,attraction,trinary,l-s-dl,difficult,[1 0 2],247,286,316.0,10.25,13.25,15.25,286,247,316,13.25,10.25,15.25,k,NA,k,2,247,10.25,1,2.049808979034424,10.25,15.25,s
1,1,centered,filler,trinary,NA,NA,[2 1 0],275,271,182.0,12.454308774276392,12.122597752022555,4.0,182,271,275,4,12.122597752022555,12.454308774276392,l,NA,k,2,271,12.122597752022555,0,1.3106176853179932,12.1225977520226,4.0,NA
1,1,centered,attraction,binary,l-s,difficult,[0 1],247,286,NA,10.25,13.25,NA,247,286,NA,10.25,13.25,NA,j,NA,j,1,247,10.25,1,1.978942632675171,10.25,13.25,s
1,1,centered,attraction,binary,l-s,easy,[1 0],247,301,NA,10.25,14.25,NA,301,247,NA,14.25,10.25,NA,k,NA,k,2,247,10.25,1,1.561464548110962,10.25,14.25,s
1,1,centered,attraction,trinary,l-s-dl,difficult,[1 2 0],236,273,301.0,9.25,12.25,14.25,273,301,236,12.25,14.25,9.25,j,NA,k,2,301,14.25,0,4.57899022102356,12.25,9.25,l
1,1,centered,filler,binary,NA,NA,[1 0],272,237,NA,12.178297551202068,9.388482722570188,NA,237,272,NA,9.388482722570188,12.178297551202068,NA,k,NA,j,1,237,9.388482722570188,0,1.4361279010772705,12.1782975512021,9.38848272257019,NA
1,1,centered,attraction,binary,l-s,easy,[0 1],247,301,NA,10.25,14.25,NA,247,301,NA,10.25,14.25,NA,j,NA,j,1,247,10.25,1,1.8763628005981445,10.25,14.25,s
1,1,centered,filler,trinary,NA,NA,[1 0 2],261,331,158.0,11.361942909958636,16.24591615400277,1.0,331,261,158,16.24591615400277,11.361942909958636,1,k,NA,k,2,261,11.361942909958636,1,2.030179500579834,1.0,16.2459161540028,NA
1,1,centered,attraction,trinary,l-s-ds,easy,[2 1 0],224,273,203.0,8.25,12.25,6.25,203,273,224,6.25,12.25,8.25,k,NA,k,2,273,12.25,1,2.057687997817993,12.25,8.25,ds
1,1,centered,attraction,binary,l-s,difficult,[0 1],236,273,NA,9.25,12.25,NA,236,273,NA,9.25,12.25,NA,k,NA,j,1,236,9.25,0,1.9644298553466797,12.25,9.25,l
1,1,centered,attraction,binary,l-s,easy,[0 1],224,273,NA,8.25,12.25,NA,224,273,NA,8.25,12.25,NA,k,NA,k,2,273,12.25,1,2.7634212970733643,12.25,8.25,s
1,1,centered,attraction,binary,l-s,difficult,[1 0],247,286,NA,10.25,13.25,NA,286,247,NA,13.25,10.25,NA,k,NA,k,2,247,10.25,1,2.000109910964966,10.25,13.25,s
1,1,centered,attraction,binary,l-s,difficult,[1 0],247,286,NA,10.25,13.25,NA,286,247,NA,13.25,10.25,NA,k,NA,j,1,286,13.25,0,1.6459546089172363,10.25,13.25,l
1,1,centered,attraction,binary,l-s,equal_2_jnd,[0 1],236,286,NA,9.25,13.25,NA,236,286,NA,9.25,13.25,NA,j,k,j,1,236,9.25,1,2.9181630611419678,13.25,9.25,l
