exp_trial_type,trial_type,set_type,set,difficulty_level,stim_1_psy,stim_2_psy,stim_3_psy,stim_correct_1,stim_correct_2,side_correct,exp_condition,stim_1_phy,stim_2_phy,stim_3_phy
transfer,attraction,trinary,l-s-ds,equal_2_jnd,9.25,13.25,7.25,9.25,13.25,equal,centered,236,286,214
transfer,attraction,trinary,l-s-dl,equal_2_jnd,9.25,13.25,15.25,9.25,13.25,equal,centered,236,286,316
transfer,attraction,trinary,l-s-ds,equal_1_jnd,10.25,12.25,8.25,10.25,12.25,equal,centered,247,273,224
transfer,attraction,trinary,l-s-dl,equal_1_jnd,10.25,12.25,14.25,10.25,12.25,equal,centered,247,273,301
transfer,attraction,trinary,l-s-ds,easy,8.25,12.25,6.25,12.25,0,long,centered,224,273,203
transfer,attraction,trinary,l-s-dl,easy,8.25,12.25,14.25,12.25,0,long,centered,224,273,301
transfer,attraction,trinary,l-s-ds,difficult,9.25,12.25,7.25,12.25,0,long,centered,236,273,214
transfer,attraction,trinary,l-s-dl,difficult,9.25,12.25,14.25,12.25,0,long,centered,236,273,301
transfer,attraction,trinary,l-s-ds,difficult,10.25,13.25,8.25,10.25,0,short,centered,247,286,224
transfer,attraction,trinary,l-s-dl,difficult,10.25,13.25,15.25,10.25,0,short,centered,247,286,316
transfer,attraction,trinary,l-s-ds,easy,10.25,14.25,8.25,10.25,0,short,centered,247,301,224
transfer,attraction,trinary,l-s-dl,easy,10.25,14.25,16.25,10.25,0,short,centered,247,301,331
transfer,attraction,binary,l-s,equal_2_jnd,9.25,13.25,NA,9.25,13.25,equal,centered,236,286,NA
transfer,attraction,binary,l-s,equal_2_jnd,9.25,13.25,NA,9.25,13.25,equal,centered,236,286,NA
transfer,attraction,binary,l-s,equal_1_jnd,10.25,12.25,NA,10.25,12.25,equal,centered,247,273,NA
transfer,attraction,binary,l-s,equal_1_jnd,10.25,12.25,NA,10.25,12.25,equal,centered,247,273,NA
transfer,attraction,binary,l-s,easy,8.25,12.25,NA,12.25,0,long,centered,224,273,NA
transfer,attraction,binary,l-s,easy,8.25,12.25,NA,12.25,0,long,centered,224,273,NA
transfer,attraction,binary,l-s,difficult,9.25,12.25,NA,12.25,0,long,centered,236,273,NA
