exp_trial_type,trial_type,set_type,set,difficulty_level,stim_1_psy,stim_2_psy,stim_3_psy,stim_correct_1,stim_correct_2,side_correct,exp_condition,stim_1_phy,stim_2_phy,stim_3_phy
transfer,attraction,trinary,l-s-ds,equal_2_jnd,5.5,9.5,3.5,5.5,9.5,equal,left,196,238,178
transfer,attraction,trinary,l-s-dl,equal_2_jnd,5.5,9.5,11.5,5.5,9.5,equal,left,196,238,263
transfer,attraction,trinary,l-s-ds,equal_1_jnd,6.5,8.5,4.5,6.5,8.5,equal,left,206,227,187
transfer,attraction,trinary,l-s-dl,equal_1_jnd,6.5,8.5,10.5,6.5,8.5,equal,left,206,227,250
transfer,attraction,trinary,l-s-ds,easy,4.5,8.5,2.5,8.5,0,long,left,187,227,169
transfer,attraction,trinary,l-s-dl,easy,4.5,8.5,10.5,8.5,0,long,left,187,227,250
transfer,attraction,trinary,l-s-ds,difficult,5.5,8.5,3.5,8.5,0,long,left,196,227,178
transfer,attraction,trinary,l-s-dl,difficult,5.5,8.5,10.5,8.5,0,long,left,196,227,250
transfer,attraction,trinary,l-s-ds,difficult,6.5,9.5,4.5,6.5,0,short,left,206,238,187
transfer,attraction,trinary,l-s-dl,difficult,6.5,9.5,11.5,6.5,0,short,left,206,238,263
transfer,attraction,trinary,l-s-ds,easy,6.5,10.5,4.5,6.5,0,short,left,206,250,187
transfer,attraction,trinary,l-s-dl,easy,6.5,10.5,12.5,6.5,0,short,left,206,250,276
transfer,attraction,binary,l-s,equal_2_jnd,5.5,9.5,NA,5.5,9.5,equal,left,196,238,NA
transfer,attraction,binary,l-s,equal_2_jnd,5.5,9.5,NA,5.5,9.5,equal,left,196,238,NA
transfer,attraction,binary,l-s,equal_1_jnd,6.5,8.5,NA,6.5,8.5,equal,left,206,227,NA
transfer,attraction,binary,l-s,equal_1_jnd,6.5,8.5,NA,6.5,8.5,equal,left,206,227,NA
transfer,attraction,binary,l-s,easy,4.5,8.5,NA,8.5,0,long,left,187,227,NA
transfer,attraction,binary,l-s,easy,4.5,8.5,NA,8.5,0,long,left,187,227,NA
transfer,attraction,binary,l-s,difficult,5.5,8.5,NA,8.5,0,long,left,196,227,NA
transfer,attraction,binary,l-s,difficult,5.5,8.5,NA,8.5,0,long,left,196,227,NA
transfer,attraction,binary,l-s,difficult,6.5,9.5,NA,6.5,0,short,left,206,238,NA
transfer,attraction,binary,l-s,difficult,6.5,9.5,NA,6.5,0,short,left,206,238,NA
transfer,attraction,binary,l-s,easy,6.5,10.5,NA,6.5,0,short,left,206,250,NA
transfer,attraction,binary,l-s,easy,6.5,10.5,NA,6.5,0,short,left,206,250,NA
transfer,attraction,trinary,l-s-ds,equal_2_jnd,5.5,9.5,3.5,5.5,9.5,equal,left,196,238,178
transfer,attraction,trinary,l-s-dl,equal_2_jnd,5.5,9.5,11.5,5.5,9.5,equal,left,196,238,263
