exp_trial_type,trial_type,set_type,set,difficulty_level,stim_1_psy,stim_2_psy,stim_3_psy,stim_correct_1,stim_correct_2,side_correct,exp_condition,stim_1_phy,stim_2_phy,stim_3_phy
transfer,attraction,trinary,l-s-ds,equal_2_jnd,13,17,11,13,17,equal,right,283,344,257
transfer,attraction,trinary,l-s-dl,equal_2_jnd,13,17,19,13,17,equal,right,283,344,379
transfer,attraction,trinary,l-s-ds,equal_1_jnd,14,16,12,14,16,equal,right,297,327,269
transfer,attraction,trinary,l-s-dl,equal_1_jnd,14,16,18,14,16,equal,right,297,327,361
transfer,attraction,trinary,l-s-ds,easy,12,16,10,16,0,long,right,269,327,244
transfer,attraction,trinary,l-s-dl,easy,12,16,18,16,0,long,right,269,327,361
transfer,attraction,trinary,l-s-ds,difficult,13,16,11,16,0,long,right,283,327,257
transfer,attraction,trinary,l-s-dl,difficult,13,16,18,16,0,long,right,283,327,361
transfer,attraction,trinary,l-s-ds,difficult,14,17,12,14,0,short,right,297,344,269
transfer,attraction,trinary,l-s-dl,difficult,14,17,19,14,0,short,right,297,344,379
transfer,attraction,trinary,l-s-ds,easy,14,18,12,14,0,short,right,297,361,269
transfer,attraction,trinary,l-s-dl,easy,14,18,20,14,0,short,right,297,361,398
transfer,attraction,binary,l-s,equal_2_jnd,13,17,NA,13,17,equal,right,283,344,NA
transfer,attraction,binary,l-s,equal_2_jnd,13,17,NA,13,17,equal,right,283,344,NA
transfer,attraction,binary,l-s,equal_1_jnd,14,16,NA,14,16,equal,right,297,327,NA
transfer,attraction,binary,l-s,equal_1_jnd,14,16,NA,14,16,equal,right,297,327,NA
transfer,attraction,binary,l-s,easy,12,16,NA,16,0,long,right,269,327,NA
transfer,attraction,binary,l-s,easy,12,16,NA,16,0,long,right,269,327,NA
transfer,attraction,binary,l-s,difficult,13,16,NA,16,0,long,right,283,327,NA
transfer,attraction,binary,l-s,difficult,13,16,NA,16,0,long,right,283,327,NA
transfer,attraction,binary,l-s,difficult,14,17,NA,14,0,short,right,297,344,NA
transfer,attraction,binary,l-s,difficult,14,17,NA,14,0,short,right,297,344,NA
transfer,attraction,binary,l-s,easy,14,18,NA,14,0,short,right,297,361,NA
transfer,attraction,binary,l-s,easy,14,18,NA,14,0,short,right,297,361,NA
transfer,attraction,trinary,l-s-ds,equal_2_jnd,13,17,11,13,17,equal,right,283,344,257
transfer,attraction,trinary,l-s-dl,equal_2_jnd,13,17,19,13,17,equal,right,283,344,379
transfer,attraction,trinary,l-s-ds,equal_1_jnd,14,16,12,14,16,equal,right,297,327,269
transfer,attraction,trinary,l-s-dl,equal_1_jnd,14,16,18,14,16,equal,right,297,327,361
transfer,attraction,trinary,l-s-ds,easy,12,16,10,16,0,long,right,269,327,244
transfer,attraction,trinary,l-s-dl,easy,12,16,18,16,0,long,right,269,327,361
transfer,attraction,trinary,l-s-ds,difficult,13,16,11,16,0,long,right,283,327,257
transfer,attraction,trinary,l-s-dl,difficult,13,16,18,16,0,long,right,283,327,361
transfer,attraction,trinary,l-s-ds,difficult,14,17,12,14,0,short,right,297,344,269
transfer,attraction,trinary,l-s-dl,difficult,14,17,19,14,0,short,right,297,344,379
transfer,attraction,trinary,l-s-ds,easy,14,18,12,14,0,short,right,297,361,269
