category,jnds,dens,exp_condition,line_len
in_category,7.98,0.052407886397331904,centered,221
in_category,8.13,0.05907864862574723,centered,223
in_category,9.02,0.10713150341874521,centered,233
in_category,8.47,0.07591540162437212,centered,227
in_category,9.1,0.11192814285797605,centered,234
in_category,8.94,0.1023764887066207,centered,232
in_category,9.28,0.12280000835718798,centered,236
in_category,9.79,0.15281370784992107,centered,242
in_category,9.94,0.1609601926462087,centered,244
in_category,10.22,0.17469770561503162,centered,247
in_category,9.31,0.12461382855321891,centered,236
in_category,9.31,0.12461382855321891,centered,236
in_category,10.79,0.19426429626167557,centered,254
in_category,10.67,0.19125728887943727,centered,252
in_category,11.06,0.19857305819403845,centered,257
in_category,10.85,0.19552135061480494,centered,255
in_category,10.36,0.1806672756944448,centered,249
in_category,11.23,0.19946117059320487,centered,259
in_category,10.75,0.19333406198792566,centered,253
in_category,10.96,0.19738518702200172,centered,256
in_category,11.42,0.1987518543926337,centered,262
in_category,11.49,0.19804010957063004,centered,263
in_category,11.26,0.19946865052735002,centered,260
in_category,11.75,0.19333406198792566,centered,266
in_category,11.92,0.18858655585830394,centered,268
in_category,11.92,0.18858655585830394,centered,268
in_category,11.76,0.19309013174803,centered,266
in_category,11.72,0.194038595231413,centered,266
in_category,12.56,0.1609601926462087,centered,277
in_category,13.09,0.13064315304831126,centered,284
in_category,13.15,0.1270295305910936,centered,285
in_category,12.63,0.15721583143027767,centered,278
in_category,12.4,0.16907748209117784,centered,275
in_category,12.99,0.13662221797055923,centered,283
in_category,13.9,0.08291840763625494,centered,296
in_category,13.94,0.08073378070360042,centered,296
in_category,14.17,0.06870827091573412,centered,299
in_category,13.69,0.09477158080390856,centered,293
in_category,14.54,0.05155540650238465,centered,305
in_category,14.54,0.05155540650238465,centered,305
