category,jnds,dens,exp_condition,line_len
in_category,4.23,0.052412519597818855,left,184
in_category,4.38,0.05908387156531597,left,186
in_category,5.27,0.10714097454547687,left,194
in_category,4.72,0.07592211304320522,left,189
in_category,5.35,0.11193803803905741,left,195
in_category,5.19,0.10238553945890126,left,193
in_category,5.53,0.12281086468240222,left,196
in_category,6.04,0.15282721758279327,left,201
in_category,6.19,0.16097442258170538,left,203
in_category,6.47,0.17471315003667048,left,206
in_category,5.56,0.12462484523202089,left,197
in_category,5.56,0.12462484523202089,left,197
in_category,7.04,0.1942814704981104,left,211
in_category,6.92,0.1912741972767203,left,210
in_category,7.3100000000000005,0.19859061335325523,left,214
in_category,7.1,0.19553863598307966,left,212
in_category,6.61,0.18068324786518603,left,207
in_category,7.48,0.19947880426737585,left,216
in_category,7,0.19335115398555663,left,211
in_category,7.21,0.19740263716562503,left,213
in_category,7.67,0.19876942535860576,left,218
in_category,7.74,0.1980576176136971,left,219
in_category,7.51,0.19948628486279618,left,216
in_category,8,0.19335115398555663,left,222
in_category,8.17,0.18860322814529165,left,223
in_category,8.17,0.18860322814529165,left,223
in_category,8.01,0.19310720218062974,left,222
in_category,7.97,0.1940557495143982,left,221
in_category,8.81,0.16097442258170533,left,231
in_category,9.34,0.1306547027588974,left,237
in_category,9.4,0.1270407608337813,left,237
in_category,8.88,0.15722973033971313,left,231
in_category,8.65,0.1690924296482386,left,229
in_category,9.24,0.13663429626965395,left,235
in_category,10.15,0.08292573816669696,left,246
in_category,10.19,0.08074091809870988,left,247
in_category,10.42,0.06871434517699798,left,249
in_category,9.94,0.09477995923250995,left,244
in_category,10.79,0.05155996433806421,left,254
in_category,10.79,0.05155996433806421,left,254
