distribution,jnds,exp_condition,dens,key_correct,line_len
in,5.54,centered,0.0033877198476266698,u,197
out,0.16,centered,0.044444444444444446,i,151
in,6.69,centered,0.014827292698728744,u,208
out,2.25,centered,0.044444444444444446,i,167
in,6.96,centered,0.019988499512085176,u,211
out,0.15,centered,0.044444444444444446,i,151
in,7.76,centered,0.0435172357505136,u,219
out,2.09,centered,0.044444444444444446,i,166
in,7.54,centered,0.03570022830161322,u,217
out,1.6,centered,0.044444444444444446,i,162
in,8.18,centered,0.06140904173064932,u,224
out,1.82,centered,0.044444444444444446,i,164
in,7.6,centered,0.03772628565649778,u,217
out,0.01,centered,0.044444444444444446,i,150
in,8.81,centered,0.09477158080390856,u,231
out,0.05,centered,0.044444444444444446,i,150
in,8.6,centered,0.08291840763625494,u,228
out,0.54,centered,0.044444444444444446,i,154
in,9.23,centered,0.1197755510859387,u,235
out,1.8900000000000001,centered,0.044444444444444446,i,164
in,9.22,centered,0.11917071962995264,u,235
out,2.68,centered,0.044444444444444446,i,171
in,9.07,centered,0.1101253853844304,u,233
out,4.4399999999999995,centered,0.044444444444444446,i,186
in,8.99,centered,0.10534277782220021,u,233
out,3.0700000000000003,centered,0.044444444444444446,i,174
in,8.89,centered,0.09943156153817274,u,231
out,3.48,centered,0.044444444444444446,i,178
in,8.55,centered,0.08019166515857919,u,228
out,3.2800000000000002,centered,0.044444444444444446,i,176
in,8.46,centered,0.07538867643045409,u,227
out,3.13,centered,0.044444444444444446,i,175
in,9.69,centered,0.1471525176239591,u,241
out,3.92,centered,0.044444444444444446,i,182
in,9.72,centered,0.14886756478649682,u,241
out,3.67,centered,0.044444444444444446,i,179
in,9.83,centered,0.15503014529264092,u,242
out,3.02,centered,0.044444444444444446,i,174
in,9.6,centered,0.14193327939541917,u,240
out,3.51,centered,0.044444444444444446,i,178
in,9.36,centered,0.12763276076550817,u,237
out,5.42,centered,0.044444444444444446,i,195
in,9.31,centered,0.12461382855321891,u,236
out,6.5,centered,0.044444444444444446,i,206
in,9.61,centered,0.14251818188832951,u,240
out,5.09,centered,0.044444444444444446,i,192
in,9.43,centered,0.13184402350272087,u,238
out,5.72,centered,0.044444444444444446,i,198
in,9.66,centered,0.14542450467914772,u,240
out,5.58,centered,0.044444444444444446,i,197
in,9.96,centered,0.16200984156174836,u,244
out,6.18,centered,0.044444444444444446,i,203
in,9.96,centered,0.16200984156174836,u,244
out,5.63,centered,0.044444444444444446,i,197
in,9.88,centered,0.15775719077912345,u,243
out,5.18,centered,0.044444444444444446,i,193
in,9.53,centered,0.1378091261331975,u,239
out,5.72,centered,0.044444444444444446,i,198
in,10.09,centered,0.16858997503866877,u,245
out,4.81,centered,0.044444444444444446,i,190
in,9.35,centered,0.1270295305910936,u,237
out,6.96,centered,0.044444444444444446,i,211
in,10.73,centered,0.19284168817327518,u,253
out,7.84,centered,0.044444444444444446,i,220
in,10.34,centered,0.17985609946918604,u,248
out,7.79,centered,0.044444444444444446,i,219
in,10.95,centered,0.19723966911289761,u,256
out,8.6,centered,0.044444444444444446,i,228
in,10.85,centered,0.19552135061480494,u,255
out,7.3,centered,0.044444444444444446,i,214
in,10.72,centered,0.19258874948487256,u,253
out,7.65,centered,0.044444444444444446,i,218
in,11.08,centered,0.1987518543926337,u,258
out,8.55,centered,0.044444444444444446,i,228
in,10.41,centered,0.18263133969903395,u,249
out,7.45,centered,0.044444444444444446,i,216
in,10.44,centered,0.18376487436984917,u,250
out,8.55,centered,0.044444444444444446,i,228
in,11.02,centered,0.19815649231908763,u,257
out,8.91,centered,0.044444444444444446,i,232
in,10.79,centered,0.19426429626167557,u,254
out,11.17,centered,0.044444444444444446,i,259
in,10.81,centered,0.19470188302877045,u,254
out,10.18,centered,0.044444444444444446,i,246
in,10.51,centered,0.186274163129501,u,250
out,10.46,centered,0.044444444444444446,i,250
in,10.63,centered,0.19011318090241364,u,252
out,9.71,centered,0.044444444444444446,i,241
in,10.86,centered,0.19571452331185843,u,255
out,9.63,centered,0.044444444444444446,i,240
in,11.15,centered,0.19922196074310827,u,258
out,10.14,centered,0.044444444444444446,i,246
in,10.78,centered,0.194038595231413,u,254
out,10.73,centered,0.044444444444444446,i,253
in,10.56,centered,0.18794645036436025,u,251
out,9.5,centered,0.044444444444444446,i,238
in,10.57,centered,0.1882685844091594,u,251
out,9.32,centered,0.044444444444444446,i,236
in,10.31,centered,0.17861266592630784,u,248
out,10.99,centered,0.044444444444444446,i,256
in,11.91,centered,0.1889003417696843,u,268
out,11.62,centered,0.044444444444444446,i,264
in,11.29,centered,0.19943125366144188,u,260
out,13.32,centered,0.044444444444444446,i,287
in,11.72,centered,0.194038595231413,u,266
out,11.66,centered,0.044444444444444446,i,265
in,11.58,centered,0.19677424039876587,u,264
out,11.28,centered,0.044444444444444446,i,260
in,12,centered,0.1859275503839888,u,269
out,13.120000000000001,centered,0.044444444444444446,i,285
in,11.58,centered,0.19677424039876587,u,264
out,12.64,centered,0.044444444444444446,i,278
in,11.66,centered,0.19532348543345907,u,265
out,12.3,centered,0.044444444444444446,i,273
in,11.63,centered,0.19590298922521723,u,265
out,11.49,centered,0.044444444444444446,i,263
in,11.53,centered,0.19752587408156816,u,263
out,12.67,centered,0.044444444444444446,i,278
in,11.47,centered,0.19826798670087217,u,263
out,11.34,centered,0.044444444444444446,i,261
in,11.28,centered,0.1994487046596073,u,260
out,15.75,centered,0.044444444444444446,i,323
in,11.95,centered,0.1876201769389729,u,269
out,15.36,centered,0.044444444444444446,i,317
in,12.19,centered,0.17861266592630784,u,272
out,14.09,centered,0.044444444444444446,i,298
in,11.62,centered,0.19608673439470617,u,264
out,13.64,centered,0.044444444444444446,i,292
in,11.84,centered,0.1909777795354792,u,267
out,14.38,centered,0.044444444444444446,i,303
in,11.81,centered,0.19180314963484066,u,267
out,14.34,centered,0.044444444444444446,i,302
in,11.38,centered,0.1990502058818987,u,261
out,14.38,centered,0.044444444444444446,i,303
in,11.9,centered,0.18920991947690463,u,268
out,15.43,centered,0.044444444444444446,i,318
in,11.74,centered,0.19357346098721512,u,266
out,14.57,centered,0.044444444444444446,i,305
in,12.92,centered,0.14076010857033175,u,282
out,15.72,centered,0.044444444444444446,i,323
in,12.36,centered,0.1709988931660095,u,274
out,16.16,centered,0.044444444444444446,i,330
in,13.2,centered,0.12400936460584122,u,286
out,17.94,centered,0.044444444444444446,i,360
in,13.09,centered,0.13064315304831126,u,284
out,17.74,centered,0.044444444444444446,i,356
in,12.48,centered,0.16510094649496593,u,276
out,17.14,centered,0.044444444444444446,i,346
in,12.3,centered,0.17379163537014744,u,273
out,16.99,centered,0.044444444444444446,i,344
in,12.27,centered,0.17514594254395988,u,273
out,17.61,centered,0.044444444444444446,i,354
in,12.52,centered,0.1630500295989565,u,276
