distribution,jnds,exp_condition,dens,key_correct,line_len
in,9.29,right,0.003388019344254496,u,236
out,0.16,right,0.044444444444444446,i,151
in,10.44,right,0.01482860352853841,u,250
out,2.25,right,0.044444444444444446,i,167
in,10.71,right,0.019990266626388774,u,253
out,0.15,right,0.044444444444444446,i,151
in,11.51,right,0.04352108295923981,u,263
out,2.09,right,0.044444444444444446,i,166
in,11.29,right,0.0357033844356709,u,260
out,1.6,right,0.044444444444444446,i,162
in,11.93,right,0.061414470692235226,u,268
out,1.82,right,0.044444444444444446,i,164
in,11.35,right,0.03772962090729857,u,261
out,0.01,right,0.044444444444444446,i,150
in,12.56,right,0.09477995923250995,u,277
out,0.05,right,0.044444444444444446,i,150
in,12.35,right,0.08292573816669696,u,274
out,0.54,right,0.044444444444444446,i,154
in,12.98,right,0.11978614002931659,u,283
out,1.8900000000000001,right,0.044444444444444446,i,164
in,12.97,right,0.11918125510226751,u,282
out,2.68,right,0.044444444444444446,i,171
in,12.82,right,0.11013512118994105,u,280
out,4.4399999999999995,right,0.044444444444444446,i,186
in,12.74,right,0.10535209081387101,u,279
out,3.0700000000000003,right,0.044444444444444446,i,174
in,12.64,right,0.09944035193959905,u,278
out,3.48,right,0.044444444444444446,i,178
in,12.3,right,0.08019875462712302,u,273
out,3.2800000000000002,right,0.044444444444444446,i,176
in,12.21,right,0.07539534128332948,u,272
out,3.13,right,0.044444444444444446,i,175
in,13.44,right,0.14716552687052825,u,289
out,3.92,right,0.044444444444444446,i,182
in,13.47,right,0.1488807256544706,u,289
out,3.67,right,0.044444444444444446,i,179
in,13.58,right,0.15504385097310314,u,291
out,3.02,right,0.044444444444444446,i,174
in,13.35,right,0.14194582722713717,u,288
out,3.51,right,0.044444444444444446,i,178
in,13.11,right,0.1276440443376951,u,284
out,5.42,right,0.044444444444444446,i,195
in,13.06,right,0.12462484523202096,u,284
out,6.5,right,0.044444444444444446,i,206
in,13.36,right,0.14253078142925965,u,288
out,5.09,right,0.044444444444444446,i,192
in,13.18,right,0.1318556793781222,u,285
out,5.72,right,0.044444444444444446,i,198
in,13.41,right,0.14543736115805217,u,289
out,5.58,right,0.044444444444444446,i,197
in,13.71,right,0.16202416429308547,u,293
out,6.18,right,0.044444444444444446,i,203
in,13.71,right,0.16202416429308547,u,293
out,5.63,right,0.044444444444444446,i,197
in,13.63,right,0.15777113754827182,u,292
out,5.18,right,0.044444444444444446,i,193
in,13.28,right,0.1378213093627494,u,287
out,5.72,right,0.044444444444444446,i,198
in,13.84,right,0.16860487949691236,u,295
out,4.81,right,0.044444444444444446,i,190
in,13.1,right,0.1270407608337813,u,284
out,6.96,right,0.044444444444444446,i,211
in,14.48,right,0.19285873664183534,u,304
out,7.84,right,0.044444444444444446,i,220
in,14.09,right,0.17987199992663483,u,298
out,7.79,right,0.044444444444444446,i,219
in,14.7,right,0.19725710639178445,u,307
out,8.6,right,0.044444444444444446,i,228
in,14.6,right,0.19553863598307966,u,306
out,7.3,right,0.044444444444444446,i,214
in,14.47,right,0.19260577559199563,u,304
out,7.65,right,0.044444444444444446,i,218
in,14.83,right,0.19876942535860576,u,309
out,8.55,right,0.044444444444444446,i,228
in,14.16,right,0.18264748550589996,u,299
out,7.45,right,0.044444444444444446,i,216
in,14.19,right,0.18378112038860597,u,300
out,8.55,right,0.044444444444444446,i,228
in,14.77,right,0.1981740106511521,u,308
out,8.91,right,0.044444444444444446,i,232
in,14.54,right,0.1942814704981104,u,305
out,11.17,right,0.044444444444444446,i,259
in,14.56,right,0.19471909595074216,u,305
out,10.18,right,0.044444444444444446,i,246
in,14.26,right,0.18629063098582277,u,301
out,10.46,right,0.044444444444444446,i,250
in,14.38,right,0.19012998815305632,u,303
out,9.71,right,0.044444444444444446,i,241
in,14.61,right,0.19573182575786507,u,306
out,9.63,right,0.044444444444444446,i,240
in,14.9,right,0.19923957326956143,u,310
out,10.14,right,0.044444444444444446,i,246
in,14.53,right,0.19405574951439816,u,305
out,10.73,right,0.044444444444444446,i,253
in,14.31,right,0.18796306606182892,u,302
out,9.5,right,0.044444444444444446,i,238
in,14.32,right,0.18828522858538793,u,302
out,9.32,right,0.044444444444444446,i,236
in,14.06,right,0.17862845645608558,u,298
out,10.99,right,0.044444444444444446,i,256
in,15.66,right,0.1889170417974022,u,322
out,11.62,right,0.044444444444444446,i,264
in,15.04,right,0.1994488846907601,u,312
out,13.32,right,0.044444444444444446,i,287
in,15.47,right,0.19405574951439816,u,319
out,11.66,right,0.044444444444444446,i,265
in,15.33,right,0.1967916365307053,u,317
out,11.28,right,0.044444444444444446,i,260
in,15.75,right,0.1859439875974732,u,323
out,13.120000000000001,right,0.044444444444444446,i,285
in,15.33,right,0.1967916365307053,u,317
out,12.64,right,0.044444444444444446,i,278
in,15.41,right,0.19534075330915554,u,318
out,12.3,right,0.044444444444444446,i,273
in,15.38,right,0.19592030833284527,u,318
out,11.49,right,0.044444444444444446,i,263
in,15.28,right,0.19754333666284918,u,316
out,12.67,right,0.044444444444444446,i,278
in,15.22,right,0.1982855148897704,u,315
out,11.34,right,0.044444444444444446,i,261
in,15.03,right,0.19946633723170806,u,312
out,15.75,right,0.044444444444444446,i,323
in,15.7,right,0.1876367637917333,u,323
out,15.36,right,0.044444444444444446,i,317
in,15.94,right,0.17862845645608558,u,326
out,14.09,right,0.044444444444444446,i,298
in,15.37,right,0.19610406974661093,u,318
out,13.64,right,0.044444444444444446,i,292
in,15.59,right,0.19099466322230513,u,321
out,14.38,right,0.044444444444444446,i,303
in,15.56,right,0.19182010628979046,u,320
out,14.34,right,0.044444444444444446,i,302
in,15.13,right,0.19906780322409692,u,314
out,14.38,right,0.044444444444444446,i,303
in,15.65,right,0.18922664687331994,u,322
out,15.43,right,0.044444444444444446,i,318
in,15.49,right,0.19359057414928593,u,319
out,14.57,right,0.044444444444444446,i,305
in,16.67,right,0.14077255268606315,u,338
out,15.72,right,0.044444444444444446,i,323
in,16.11,right,0.1710140105883966,u,329
out,16.16,right,0.044444444444444446,i,330
in,16.95,right,0.12402032784607042,u,343
out,17.94,right,0.044444444444444446,i,360
in,16.84,right,0.1306547027588974,u,341
out,17.74,right,0.044444444444444446,i,356
in,16.23,right,0.16511554250022928,u,331
out,17.14,right,0.044444444444444446,i,346
in,16.05,right,0.17380699968924096,u,328
out,16.99,right,0.044444444444444446,i,344
in,16.02,right,0.17516142659267975,u,328
out,17.61,right,0.044444444444444446,i,354
in,16.27,right,0.1630644442897305,u,332
out,16.41,right,0.044444444444444446,i,334
in,16.93,right,0.1252291784733381,u,343
out,17.77,right,0.044444444444444446,i,357
in,16.85,right,0.13005344565759797,u,341
out,16.02,right,0.044444444444444446,i,328
in,16.77,right,0.1348476316267912,u,340
out,17.48,right,0.044444444444444446,i,352
in,16.61,right,0.1442785038784717,u,337
out,18.54,right,0.044444444444444446,i,371
in,16.66,right,0.14135973967171309,u,338
out,20.02,right,0.044444444444444446,i,398
in,16.63,right,0.14311456829995986,u,338
out,18.43,right,0.044444444444444446,i,369
in,16.9,right,0.12704076083378138,u,342
out,19.71,right,0.044444444444444446,i,392
in,17.04,right,0.11857646021839487,u,344
out,20.1,right,0.044444444444444446,i,400
in,17,right,0.12099606040275634,u,344
out,18.13,right,0.044444444444444446,i,363
in,17.6,right,0.08569187266665128,u,354
out,18.73,right,0.044444444444444446,i,374
in,17.47,right,0.09305079123761867,u,352
out,18.63,right,0.044444444444444446,i,372
in,17.95,right,0.06721829694337328,u,360
out,19.72,right,0.044444444444444446,i,393
in,17.72,right,0.07911939070692715,u,356
out,18.45,right,0.044444444444444446,i,369
in,17.22,right,0.1077386068402415,u,348
out,21.83,right,0.044444444444444446,i,435
in,17.42,right,0.09593855998382249,u,351
out,21.15,right,0.044444444444444446,i,421
in,17.63,right,0.08402761429374102,u,355
out,22.44,right,0.044444444444444446,i,448
in,18.86,right,0.03097895138883375,u,376
out,20.61,right,0.044444444444444446,i,410
in,18.5,right,0.043142473953680975,u,370
out,20.54,right,0.044444444444444446,i,409
in,18.59,right,0.039834982615191625,u,372
out,22.17,right,0.044444444444444446,i,442
in,18.62,right,0.03877237414313072,u,372
out,21.94,right,0.044444444444444446,i,438
in,19.32,right,0.019355139402609082,u,385
out,22.39,right,0.044444444444444446,i,447
in,19.96,right,0.009212469865006767,u,397
out,20.62,right,0.044444444444444446,i,410
in,20.65,right,0.003689332275067486,u,411
out,22.26,right,0.044444444444444446,i,444
