angle,radius,distribution
23.191261772018777,74.10228934544129,in
27.773191763206487,74.22060211647467,in
21.94411197816911,90.85663614035751,in
29.379562871482293,76.67679024122633,in
24.22399999481894,65.73682859258521,in
24.505446034890177,85.1424711951532,in
25.20579527610625,77.55939732388097,in
23.843221122180605,65.2605742661255,in
24.561979901790295,83.46104979153364,in
26.260027167611387,61.111675139819354,in
22.320250390942306,58.00520754083938,in
23.981376344460685,76.32297100082808,in
26.552814555277205,70.41353541608879,in
23.15192807302855,85.08713377953674,in
22.000754074390592,83.76373702802495,in
22.468950115091566,80.37788393120499,in
29.957644569842465,84.11683644783727,in
28.63399541755522,77.89469581064395,in
23.921043586703085,67.37506150835654,in
22.408134171920757,71.57961118082513,in
21.82447546451299,67.25768640892572,in
24.25690609931698,69.72586510220424,in
17.615862196488827,69.91794296402239,in
23.66929794351894,76.78797587820601,in
20.666171885979136,80.01078283474807,in
21.627568057725156,76.67308241598882,in
19.71641244067141,69.94794518565779,in
25.74331426888125,78.6241642275778,in
28.08445122355841,75.33144371604095,in
22.73142964619099,58.60268582016984,in
27.973693236373553,77.3908718348324,in
24.012526460488324,90.28951062824079,in
23.3246728483085,70.3442432795971,in
19.191702865937113,71.09848473440938,in
25.547442985734598,91.39814987305934,in
31.106476359407104,81.43577984737641,in
32.46039218479743,77.97368703582302,in
24.080476024375137,71.51511087113936,in
23.726702556029178,60.271485750179494,in
23.575440237690994,81.91639788043567,in
24.23527690338766,63.610640158682145,in
25.55073299702265,81.86862059349663,in
20.72803614043409,79.27283932162142,in
30.225616934418056,86.53200663963528,in
27.201941066100666,70.98639489587283,in
21.76303781432872,76.5839036648451,in
27.658660213461175,59.97427796963653,in
24.61766124726348,75.93589244965638,in
29.774695708457788,60.3185186258702,in
29.906123163286118,75.21692977765494,in
26.125234142654698,86.15548940034928,in
22.353853567897183,66.623837604636,in
23.64804153516327,69.84628404988044,in
31.868083514916027,63.157119438023734,in
27.181698092278623,76.3859360264588,in
29.714860611369605,57.71103334208132,in
26.17312356858421,68.72778313467703,in
21.968308689249433,81.1233455177661,in
27.598404548347567,81.51887345817681,in
24.890998439176656,77.31771337392352,in
27.762250000779222,68.13924275874051,in
26.525148990207484,88.66420096424639,in
25.009431684048835,83.18039963109315,in
24.726298423447716,77.60219204774351,in
29.229289390716048,74.19953552244654,in
26.278920041078994,64.00398892581487,in
24.608561044177755,64.20419515859406,in
27.003654192874457,59.583634420701244,in
24.69199858037768,84.01020669386914,in
24.86303158848607,80.7976733457637,in
22.434815817749424,80.12029142995009,in
26.691244775139612,80.98387573187513,in
25.24047588170586,81.0731699174078,in
28.64698925784899,90.77241710084775,in
27.740380024747783,73.71965493160636,in
25.200050290941764,81.14544101705684,in
23.136443492487388,79.60103908496251,in
21.47321883576478,88.29172722833994,in
23.932935788423524,79.28944434269692,in
21.823005468626175,74.43342146898053,in
16.488356633165704,80.82132486571912,in
21.72915184807858,62.358012907985106,in
25.550770093802143,64.4960250571293,in
23.79010117122488,62.60512803488247,in
28.009436136606364,71.44124241643173,in
27.605082971266384,92.92253632742185,in
22.650737170773464,74.07788820089286,in
27.43306272683467,79.50971592836841,in
25.132459350165938,77.48266822245695,in
26.27213172237996,71.4330975367039,in
26.123205792042384,74.11806521990451,in
21.52135783689513,64.03858032115629,in
26.685583125632395,67.7781015692928,in
24.79987229277737,89.28053996284974,in
25.04982133704497,69.3199289530344,in
23.097029979063752,75.55572318030025,in
23.941788056525436,82.17504797484634,in
23.752317415639602,81.34353099239466,in
27.234317337035986,78.63569633774262,in
24.773944892406472,74.4153418945605,in
18.108315389348377,74.92421744079805,in
21.75345053382569,66.9251046770695,in
19.126101044991234,71.32112149681977,in
22.09102561278634,78.4746678531105,in
25.99618106358973,67.74220403183307,in
32.26560115493788,76.42996538722623,in
25.337550338126068,73.1504307728836,in
23.26013005616501,72.43649208932402,in
23.983771639627978,74.09201977081153,in
27.2824182208387,69.29942143035888,in
26.32548561801828,94.62077226874015,in
29.474966484187224,59.397833194367564,in
25.183776708569813,78.27094963655266,in
25.031413594181146,83.47864462693958,in
