"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","response","exp_trial_type","stimulus","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","angle_c","radius_c","question_order"
"true","false","[]","[]","[]","preload","0","19","0.0-0.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","1","3219","0.0-1.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","3186","{""response"":""24""}","enter-sub-number","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","15976","0.0-2.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","3","22079","0.0-3.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","6095","0","","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","24519","0.0-4.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","2435","0","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","5","41312","0.0-5.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","16788","","","","[{""page_index"":0,""viewing_time"":3211},{""page_index"":1,""viewing_time"":1825},{""page_index"":2,""viewing_time"":8503},{""page_index"":3,""viewing_time"":3249}]","instructions_1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","43303","0.0-6.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","1990","","","","[{""page_index"":0,""viewing_time"":1989}]","Click to see the kinds of turtles that will appear in the study.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","7","58320","0.0-7.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","demo_range","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","8","60406","0.0-8.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","1585","","","","[{""page_index"":0,""viewing_time"":1585}]","Click to see some turtles in the subspecies.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","9","75419","0.0-9.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","demo_in","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","99463","0.0-10.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","23539","","","","[{""page_index"":0,""viewing_time"":3252},{""page_index"":1,""viewing_time"":16327},{""page_index"":2,""viewing_time"":3960}]","instructions_2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","11","100879","0.0-11.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","1412","","","","[{""page_index"":0,""viewing_time"":1412}]","Click to begin the first phase of the experiment.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","12","101389","0.0-12.0-0.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","13","101903","0.0-12.0-1.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","14","106560","0.0-12.0-2.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","4647","u","learn","","","learn_trial","13.3333","90","out","1","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","15","107571","0.0-12.0-3.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","learn_feedback","","","learn_feedback","13.3333","90","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","16","107631","0.0-12.0-4.0","2d_cat_multi_stim_exp1","2022-4-11","10:54:56","25","75","3","9","10","40","30","120","24","19","[""Asian""]","No","Female","1683435","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
