"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","response","exp_trial_type","stimulus","view_history","screen_id","angle","radius","distribution","correct","choice","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"true","false","[]","[]","[]","preload","0","76","0.0-0.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","1","2565","0.0-1.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","2455","{""response"":""41""}","enter-sub-number","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","5286","0.0-2.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","3","67487","0.0-3.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","62195","0","","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","72215","0.0-4.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","4723","0","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","5","110053","0.0-5.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","37833","","","","[{""page_index"":0,""viewing_time"":12473},{""page_index"":1,""viewing_time"":1936},{""page_index"":2,""viewing_time"":12248},{""page_index"":3,""viewing_time"":11175}]","instructions_1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","112309","0.0-6.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","2253","","","","[{""page_index"":0,""viewing_time"":2252}]","Click to see the kinds of turtles that will appear in the study.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","7","127333","0.0-7.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","demo_range","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","8","129445","0.0-8.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","1611","","","","[{""page_index"":0,""viewing_time"":1610}]","Click to see some turtles in the subspecies.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","9","144464","0.0-9.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","demo_in","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","164645","0.0-10.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","19679","","","","[{""page_index"":0,""viewing_time"":2822},{""page_index"":1,""viewing_time"":10376},{""page_index"":2,""viewing_time"":6480}]","instructions_2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","11","166260","0.0-11.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","1614","","","","[{""page_index"":0,""viewing_time"":1614}]","Click to begin the first phase of the experiment.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","12","166772","0.0-12.0-0.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","13","167282","0.0-12.0-1.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","14","171196","0.0-12.0-2.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","3903","i","learn","","","learn_trial","25","75","in","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","15","172211","0.0-12.0-3.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","learn_feedback","","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","16","172271","0.0-12.0-4.0","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","17","172780","0.0-12.0-0.1","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","18","173289","0.0-12.0-1.1","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","19","175867","0.0-12.0-2.1","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","2567","u","learn","","","learn_trial","23.8209","66.7243","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","20","176378","0.0-12.0-3.1","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","learn_feedback","","","learn_feedback","23.8209","66.7243","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","21","176437","0.0-12.0-4.1","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","22","176946","0.0-12.0-0.2","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","23","177456","0.0-12.0-1.2","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","24","179202","0.0-12.0-2.2","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","1737","u","learn","","","learn_trial","27.8087","71.8376","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","25","179712","0.0-12.0-3.2","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","learn_feedback","","","learn_feedback","27.8087","71.8376","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","26","179771","0.0-12.0-4.2","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","27","180282","0.0-12.0-0.3","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","28","180791","0.0-12.0-1.3","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","29","182170","0.0-12.0-2.3","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","1370","u","learn","","","learn_trial","27.5753","70.3839","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","30","182681","0.0-12.0-3.3","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","learn_feedback","","","learn_feedback","27.5753","70.3839","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","31","182742","0.0-12.0-4.3","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
