"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","stimulus","response","exp_trial_type","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"true","false","[]","[]","[]","preload","0","54","0.0-0.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","3006","0.0-1.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","2944","<p><b>WAIT!</b></p></p><p>Did you mean to start this experiment? Only Walker, Esther, and Sean are running participants on this experiment.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","2","6204","0.0-2.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","3186","","{""response"":""6""}","enter-sub-number","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","9941","0.0-3.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","4","45902","0.0-4.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","35952","consent.png","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","48190","0.0-5.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","2282","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","102157","0.0-6.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","53963","","","","[{""page_index"":0,""viewing_time"":8284},{""page_index"":1,""viewing_time"":4041},{""page_index"":2,""viewing_time"":22022},{""page_index"":3,""viewing_time"":19616}]","instructions_1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","104949","0.0-7.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","2788","","","","[{""page_index"":0,""viewing_time"":2787}]","Click to see the kinds of turtles that will appear in the study.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","8","119969","0.0-8.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","demo_range","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","9","122909","0.0-9.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","2438","","","","[{""page_index"":0,""viewing_time"":2436}]","Click to see some turtles in the subspecies.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","10","137928","0.0-10.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","demo_in","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","11","179332","0.0-11.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","40902","","","","[{""page_index"":0,""viewing_time"":16926},{""page_index"":1,""viewing_time"":17447},{""page_index"":2,""viewing_time"":6529}]","instructions_2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","12","180909","0.0-12.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","1574","","","","[{""page_index"":0,""viewing_time"":1574}]","Click to begin the first phase of the experiment.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","13","181419","0.0-13.0-0.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","14","181928","0.0-13.0-1.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","15","188213","0.0-13.0-2.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","6274","","i","learn","","learn_trial","36.6667","100","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","16","188724","0.0-13.0-3.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","learn_feedback","","learn_feedback","36.6667","100","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","17","188785","0.0-13.0-4.0","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","18","189296","0.0-13.0-0.1","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","19","189805","0.0-13.0-1.1","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","20","194805","0.0-13.0-2.1","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","4990","","u","learn","","learn_trial","22.5729","69.7099","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","21","195315","0.0-13.0-3.1","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","learn_feedback","","learn_feedback","22.5729","69.7099","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","22","195373","0.0-13.0-4.1","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","23","195881","0.0-13.0-0.2","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","24","196390","0.0-13.0-1.2","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","25","200405","0.0-13.0-2.2","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","4005","","i","learn","","learn_trial","40","30","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","26","200915","0.0-13.0-3.2","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","learn_feedback","","learn_feedback","40","30","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","27","200973","0.0-13.0-4.2","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","28","201482","0.0-13.0-0.3","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","29","201991","0.0-13.0-1.3","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","30","204836","0.0-13.0-2.3","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","2836","","i","learn","","learn_trial","23.3333","50","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","31","205346","0.0-13.0-3.3","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","learn_feedback","","learn_feedback","23.3333","50","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","32","205409","0.0-13.0-4.3","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","33","205915","0.0-13.0-0.4","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","34","206424","0.0-13.0-1.4","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","35","207781","0.0-13.0-2.4","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","1348","","u","learn","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","36","208290","0.0-13.0-3.4","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","learn_feedback","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","37","208348","0.0-13.0-4.4","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","38","208856","0.0-13.0-0.5","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","39","209366","0.0-13.0-1.5","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","40","212205","0.0-13.0-2.5","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","2830","","u","learn","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","41","212714","0.0-13.0-3.5","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","learn_feedback","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","42","212771","0.0-13.0-4.5","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","43","213279","0.0-13.0-0.6","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","44","213787","0.0-13.0-1.6","2d_cat_multi_stim_exp1","2022-4-1","13:57:46","25","75","3","9","10","40","30","120","6","21","[""White""]","No","Female","1629464","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
