"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","stimulus","response","exp_trial_type","view_history","screen_id","angle","radius","distribution","correct","choice","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"true","false","[]","[]","[]","preload","0","13","0.0-0.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","1004","0.0-1.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","990","<p><b>WAIT!</b></p></p><p>Did you mean to start this experiment? Only Walker, Esther, and Sean are running participants on this experiment.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","2","3097","0.0-2.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","2088","","{""response"":""8""}","enter-sub-number","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","8238","0.0-3.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","4","20518","0.0-4.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","12270","consent.png","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","26374","0.0-5.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","5848","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","78919","0.0-6.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","52539","","","","[{""page_index"":0,""viewing_time"":6826},{""page_index"":1,""viewing_time"":2288},{""page_index"":2,""viewing_time"":21769},{""page_index"":3,""viewing_time"":21656}]","instructions_1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","80765","0.0-7.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","1842","","","","[{""page_index"":0,""viewing_time"":1842}]","Click to see the kinds of turtles that will appear in the study.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","8","95782","0.0-8.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","demo_range","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","9","98413","0.0-9.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","2129","","","","[{""page_index"":0,""viewing_time"":2129}]","Click to see some turtles in the subspecies.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","10","113431","0.0-10.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","demo_in","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","11","159006","0.0-11.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","45073","","","","[{""page_index"":0,""viewing_time"":8544},{""page_index"":1,""viewing_time"":24328},{""page_index"":2,""viewing_time"":12200}]","instructions_2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","12","160141","0.0-12.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","1131","","","","[{""page_index"":0,""viewing_time"":1131}]","Click to begin the first phase of the experiment.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","13","160651","0.0-13.0-0.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","14","161161","0.0-13.0-1.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","15","164461","0.0-13.0-2.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","3286","","i","learn","","learn_trial","25.9271","83.5595","in","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","16","165472","0.0-13.0-3.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","learn_feedback","","learn_feedback","25.9271","83.5595","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","17","165532","0.0-13.0-4.0","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","18","166042","0.0-13.0-0.1","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","19","166557","0.0-13.0-1.1","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","20","169108","0.0-13.0-2.1","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","2539","","u","learn","","learn_trial","13.3333","110","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","21","170120","0.0-13.0-3.1","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","learn_feedback","","learn_feedback","13.3333","110","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","22","170179","0.0-13.0-4.1","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","23","170688","0.0-13.0-0.2","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","24","171198","0.0-13.0-1.2","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","25","174509","0.0-13.0-2.2","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","3299","","i","learn","","learn_trial","27.9518","73.393","in","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","26","175522","0.0-13.0-3.2","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","learn_feedback","","learn_feedback","27.9518","73.393","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","27","175581","0.0-13.0-4.2","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","28","176091","0.0-13.0-0.3","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","29","176605","0.0-13.0-1.3","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","30","178444","0.0-13.0-2.3","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","1833","","u","learn","","learn_trial","25","75","in","1","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","31","178956","0.0-13.0-3.3","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","learn_feedback","","learn_feedback","25","75","in","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","32","179019","0.0-13.0-4.3","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","33","179528","0.0-13.0-0.4","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","34","180040","0.0-13.0-1.4","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","35","181125","0.0-13.0-2.4","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","1074","","u","learn","","learn_trial","36.6667","90","out","0","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","36","182139","0.0-13.0-3.4","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","learn_feedback","","learn_feedback","36.6667","90","out","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","37","182198","0.0-13.0-4.4","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","38","182707","0.0-13.0-0.5","2d_cat_multi_stim_exp1","2022-4-1","15:21:36","25","75","3","9","10","40","30","120","8","20","[""White""]","No","Female","1708189","null","","null","","","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
