success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,exp_name,date,time,angle_mean_in,radius_mean_in,angle_sd_in,radius_sd_in,angle_min_out,angle_max_out,radius_min_out,radius_max_out,sub_n,age,race,ethnicity,gender,exp_duration,rt,response,exp_trial_type,stimulus,view_history,screen_id,angle,radius,distribution,choice,correct,order,angle_a,radius_a,angle_b,radius_b,jkl_correct,transfer_trial_type,choice_set,abc_correct,tc_correct,tc_angle,tdc_a,tdc_b,tdc_c,pair,category_a,category_b,category_c,angle_c,radius_c,question_order
true,false,[],[],[],preload,0,24,0.0-0.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,1,9891,0.0-1.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,9839,"{""response"":""55""}",enter-sub-number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,fullscreen,2,51723,0.0-2.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,image-button-response,3,60891,0.0-3.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,9138,0,,consent.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,4,65579,0.0-4.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,4685,0,,"<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,5,171850,0.0-5.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,106269,,,,"[{""page_index"":0,""viewing_time"":34661},{""page_index"":1,""viewing_time"":3872},{""page_index"":2,""viewing_time"":32824},{""page_index"":3,""viewing_time"":34912}]",instructions_1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,6,173811,0.0-6.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,1955,,,,"[{""page_index"":0,""viewing_time"":1955}]",Click to see the kinds of turtles that will appear in the study.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,7,188830,0.0-7.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,demo_range,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,8,192466,0.0-8.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,3134,,,,"[{""page_index"":0,""viewing_time"":3133}]",Click to see some turtles in the subspecies.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,canvas-keyboard-response,9,207484,0.0-9.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,null,null,,,,demo_in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,10,277809,0.0-10.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,69825,,,,"[{""page_index"":0,""viewing_time"":13856},{""page_index"":1,""viewing_time"":49280},{""page_index"":2,""viewing_time"":6689}]",instructions_2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,11,279225,0.0-11.0,2d_cat_multi_stim_exp1,2022-4-25,10:37:21,25,75,3,9,10,40,30,120,899,20,"[""Asian""]",No,Female,4305094,1414,,,,"[{""page_index"":0,""viewing_time"":1413}]",Click to begin the first phase of the experiment.,,,,,,,,,,,,,,,,,,,,,,,,,,
