angle,radius,distribution
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
25,75,in
28,75,in
27.95178876579589,76.60701205318773,in
27.80870461191921,78.16237341673208,in
27.5753463808056,79.61609349665315,in
27.259214398010833,80.92144853345741,in
26.870469405576202,82.03648334221226,in
26.421605987418996,82.92535978671064,in
25.927050983124843,83.55950864665638,in
25.402699797452964,83.91854785591141,in
24.865405508948456,83.99093759887182,in
24.332437198131057,83.77435120963641,in
23.82092490503823,83.27574995296305,in
23.34730905564369,82.51115928349172,in
22.926812053039406,81.50515377444653,in
22.572949016875157,80.29006727063226,in
22.29709339629274,78.90495365205803,in
22.10811141791244,77.39433161010007,in
22.012077118014282,75.8067537801309,in
22.012077118014282,74.1932462198691,in
22.10811141791244,72.60566838989992,in
22.29709339629274,71.09504634794197,in
22.572949016875157,69.70993272936774,in
22.926812053039406,68.49484622555347,in
23.34730905564369,67.48884071650828,in
23.820924905038233,66.72425004703695,in
24.33243719813106,66.22564879036358,in
24.865405508948456,66.00906240112818,in
25.402699797452964,66.08145214408859,in
25.927050983124843,66.44049135334362,in
26.421605987419,67.07464021328936,in
26.870469405576202,67.96351665778774,in
27.259214398010833,69.07855146654259,in
27.5753463808056,70.38390650334685,in
27.80870461191921,71.83762658326792,in
27.95178876579589,73.39298794681227,in
31,75,in
29.242640687119284,87.72792206135786,in
25,93,in
20.757359312880716,87.72792206135786,in
19,75,in
20.757359312880716,62.27207793864214,in
25,57,in
29.242640687119284,62.27207793864214,in
10,30,out
10,40,out
10,50,out
10,60,out
10,70,out
10,80,out
10,90,out
10,100,out
10,110,out
10,120,out
13.333333333333334,30,out
13.333333333333334,40,out
13.333333333333334,50,out
13.333333333333334,60,out
13.333333333333334,70,out
13.333333333333334,80,out
13.333333333333334,90,out
13.333333333333334,100,out
13.333333333333334,110,out
13.333333333333334,120,out
16.666666666666668,30,out
16.666666666666668,40,out
16.666666666666668,50,out
16.666666666666668,60,out
16.666666666666668,70,out
16.666666666666668,80,out
16.666666666666668,90,out
16.666666666666668,100,out
16.666666666666668,110,out
16.666666666666668,120,out
20,30,out
20,40,out
20,50,out
20,60,out
20,70,out
20,80,out
20,90,out
20,100,out
20,110,out
20,120,out
23.333333333333336,30,out
23.333333333333336,40,out
23.333333333333336,50,out
23.333333333333336,60,out
23.333333333333336,70,out
23.333333333333336,80,out
23.333333333333336,90,out
23.333333333333336,100,out
23.333333333333336,110,out
23.333333333333336,120,out
26.666666666666668,30,out
26.666666666666668,40,out
26.666666666666668,50,out
26.666666666666668,60,out
26.666666666666668,70,out
26.666666666666668,80,out
26.666666666666668,90,out
26.666666666666668,100,out
26.666666666666668,110,out
26.666666666666668,120,out
30,30,out
30,40,out
30,50,out
30,60,out
30,70,out
30,80,out
30,90,out
30,100,out
30,110,out
30,120,out
33.333333333333336,30,out
33.333333333333336,40,out
33.333333333333336,50,out
33.333333333333336,60,out
33.333333333333336,70,out
33.333333333333336,80,out
33.333333333333336,90,out
33.333333333333336,100,out
33.333333333333336,110,out
33.333333333333336,120,out
36.66666666666667,30,out
36.66666666666667,40,out
36.66666666666667,50,out
36.66666666666667,60,out
36.66666666666667,70,out
36.66666666666667,80,out
36.66666666666667,90,out
36.66666666666667,100,out
36.66666666666667,110,out
36.66666666666667,120,out
40,30,out
40,40,out
40,50,out
40,60,out
40,70,out
40,80,out
40,90,out
40,100,out
40,110,out
40,120,out
